Metric,Value
first-contentful-paint,793.712
largest-contentful-paint,254646.568
speed-index,25523.47814655159
total-blocking-time,12612
cumulative-layout-shift,0
interactive,259827.568
transfer-size,50311508
resource-size,50311170
server-response-time,62.81399999999999
first-contentful-paint,872.242
largest-contentful-paint,253052.8025
speed-index,34735.4323
total-blocking-time,8836
cumulative-layout-shift,0
interactive,256168.8025
transfer-size,50311508
resource-size,50311170
server-response-time,55.00699999999999
first-contentful-paint,757.0340000000001
largest-contentful-paint,253102.551
speed-index,9741.413306209999
total-blocking-time,9349
cumulative-layout-shift,0
interactive,256509.551
transfer-size,50311508
resource-size,50311170
server-response-time,27.949000000000005
first-contentful-paint,874.944
largest-contentful-paint,252732.18
speed-index,30931.613399990652
total-blocking-time,8462
cumulative-layout-shift,0
interactive,255768.18
transfer-size,50311508
resource-size,50311170
server-response-time,61.331
first-contentful-paint,797.44
largest-contentful-paint,252604.16
speed-index,32616.322999893186
total-blocking-time,8759
cumulative-layout-shift,0
interactive,255980.16
transfer-size,50311508
resource-size,50311170
server-response-time,108.256
first-contentful-paint,755.6320000000001
largest-contentful-paint,253109.04
speed-index,30915.49120008545
total-blocking-time,9110
cumulative-layout-shift,0
interactive,256267.04
transfer-size,50311508
resource-size,50311170
server-response-time,28.61
first-contentful-paint,752.3720000000001
largest-contentful-paint,252792.558
speed-index,13618.959392979272
total-blocking-time,9209
cumulative-layout-shift,0
interactive,256362.558
transfer-size,50311508
resource-size,50311170
server-response-time,27.352000000000004
first-contentful-paint,765.8119999999999
largest-contentful-paint,252903.718
speed-index,11278.330200112152
total-blocking-time,9090
cumulative-layout-shift,0
interactive,256263.718
transfer-size,50311508
resource-size,50311170
server-response-time,36.40100000000001
first-contentful-paint,756.2460000000001
largest-contentful-paint,252562.369
speed-index,17359.935452759724
total-blocking-time,8705
cumulative-layout-shift,0
interactive,255864.369
transfer-size,50311508
resource-size,50311170
server-response-time,27.872000000000007
first-contentful-paint,752.7239999999999
largest-contentful-paint,253434.08599999998
speed-index,27737.462249586504
total-blocking-time,9813
cumulative-layout-shift,0
interactive,256967.08599999998
transfer-size,50311508
resource-size,50311170
server-response-time,42.69699999999999
first-contentful-paint,756.048
largest-contentful-paint,252786.07200000001
speed-index,11033.765001728212
total-blocking-time,9232
cumulative-layout-shift,0
interactive,256391.07200000001
transfer-size,50311508
resource-size,50311170
server-response-time,27.983000000000004
first-contentful-paint,757.616
largest-contentful-paint,252268.424
speed-index,33462.554799871825
total-blocking-time,7962
cumulative-layout-shift,0
interactive,255123.424
transfer-size,50311508
resource-size,50311170
server-response-time,34.221000000000004
first-contentful-paint,803.4200000000001
largest-contentful-paint,255040.77500000002
speed-index,31836.617399905204
total-blocking-time,12651
cumulative-layout-shift,0
interactive,259867.77500000002
transfer-size,50311508
resource-size,50311170
server-response-time,37.68900000000001
first-contentful-paint,758.76
largest-contentful-paint,253052.14
speed-index,17285.59644335664
total-blocking-time,9656
cumulative-layout-shift,0
interactive,256819.14
transfer-size,50311508
resource-size,50311170
server-response-time,41.586
first-contentful-paint,765.164
largest-contentful-paint,253189.955
speed-index,18114.89439993057
total-blocking-time,9308
cumulative-layout-shift,0
interactive,256476.955
transfer-size,50311508
resource-size,50311170
server-response-time,27.947999999999993
first-contentful-paint,785.202
largest-contentful-paint,253336.80299999999
speed-index,15955.123299959943
total-blocking-time,9508
cumulative-layout-shift,0
interactive,256710.80299999999
transfer-size,50311508
resource-size,50311170
server-response-time,36.724999999999994
first-contentful-paint,752.944
largest-contentful-paint,252265.416
speed-index,21387.20039988384
total-blocking-time,7857
cumulative-layout-shift,0
interactive,255011.416
transfer-size,50311508
resource-size,50311170
server-response-time,31.74800000000002
first-contentful-paint,759.864
largest-contentful-paint,252293.796
speed-index,13693.867643893558
total-blocking-time,7850
cumulative-layout-shift,0
interactive,255013.796
transfer-size,50311508
resource-size,50311170
server-response-time,47.036
first-contentful-paint,787.4559999999999
largest-contentful-paint,253174.82
speed-index,8355.057399846457
total-blocking-time,9306.5
cumulative-layout-shift,0
interactive,256528.32
transfer-size,50311508
resource-size,50311170
server-response-time,23.976
first-contentful-paint,766.2280000000001
largest-contentful-paint,253126.342
speed-index,8277.061677384028
total-blocking-time,9647.886
cumulative-layout-shift,0
interactive,256701.342
transfer-size,50311508
resource-size,50311170
server-response-time,23.589
first-contentful-paint,795.088
largest-contentful-paint,253133.63199999998
speed-index,25177.179399869154
total-blocking-time,9280
cumulative-layout-shift,0
interactive,256497.63199999998
transfer-size,50311508
resource-size,50311170
server-response-time,50.23599999999999
first-contentful-paint,778.432
largest-contentful-paint,253224.648
speed-index,14034.16967758364
total-blocking-time,9642
cumulative-layout-shift,0
interactive,256834.648
transfer-size,50311508
resource-size,50311170
server-response-time,31.195999999999998
first-contentful-paint,780.336
largest-contentful-paint,253249.50400000002
speed-index,14279.915989347603
total-blocking-time,9701
cumulative-layout-shift,0
interactive,256896.50400000002
transfer-size,50311508
resource-size,50311170
server-response-time,24.789
first-contentful-paint,781.204
largest-contentful-paint,255518.806
speed-index,28065.35576962297
total-blocking-time,13026
cumulative-layout-shift,0
interactive,260222.806
transfer-size,50311508
resource-size,50311170
server-response-time,77.07400000000001
first-contentful-paint,767.0740000000001
largest-contentful-paint,252910.3425
speed-index,11498.199964491114
total-blocking-time,9338
cumulative-layout-shift,0
interactive,256504.34250000003
transfer-size,50311508
resource-size,50311170
server-response-time,37.71300000000001
first-contentful-paint,756.348
largest-contentful-paint,253253.935
speed-index,23280.06539999599
total-blocking-time,9455
cumulative-layout-shift,0
interactive,256612.935
transfer-size,50311508
resource-size,50311170
server-response-time,33.96300000000001
first-contentful-paint,759.508
largest-contentful-paint,252748.885
speed-index,8547.392400069428
total-blocking-time,8741
cumulative-layout-shift,0
interactive,255902.885
transfer-size,50311508
resource-size,50311170
server-response-time,29.567999999999998
first-contentful-paint,810
largest-contentful-paint,252845
speed-index,13837.527199935912
total-blocking-time,9272
cumulative-layout-shift,0
interactive,256497
transfer-size,50311508
resource-size,50311170
server-response-time,36.85000000000001
first-contentful-paint,789.992
largest-contentful-paint,252792.99
speed-index,13014.815200118828
total-blocking-time,9256
cumulative-layout-shift,0
interactive,256455.99
transfer-size,50311508
resource-size,50311170
server-response-time,29.776999999999994
first-contentful-paint,901.3219999999999
largest-contentful-paint,253002.15249999997
speed-index,26140.075500089453
total-blocking-time,8956
cumulative-layout-shift,0
interactive,256316.15249999997
transfer-size,50311508
resource-size,50311170
server-response-time,45.479
first-contentful-paint,772.5219999999999
largest-contentful-paint,252913.783
speed-index,12788.619899927902
total-blocking-time,9487
cumulative-layout-shift,0
interactive,256670.783
transfer-size,50311508
resource-size,50311170
server-response-time,25.421999999999997
first-contentful-paint,759.0219999999999
largest-contentful-paint,252961.2775
speed-index,10990.445711048364
total-blocking-time,9186
cumulative-layout-shift,0
interactive,256347.2775
transfer-size,50311508
resource-size,50311170
server-response-time,27.191000000000003
