Metric,Value
first-contentful-paint,767.3140000000001
largest-contentful-paint,3090.8140000000003
speed-index,5507.96468044212
total-blocking-time,3688.843
cumulative-layout-shift,0
interactive,4606.157
transfer-size,143364
resource-size,143030
server-response-time,28.445000000000007
first-contentful-paint,763.528
largest-contentful-paint,3120.1459999999997
speed-index,5434.670124094577
total-blocking-time,3736.735999999999
cumulative-layout-shift,0
interactive,4650.263999999999
transfer-size,143364
resource-size,143030
server-response-time,30.705999999999996
first-contentful-paint,771.452
largest-contentful-paint,3367.4519999999998
speed-index,6001.922231525503
total-blocking-time,4244.273999999999
cumulative-layout-shift,0
interactive,5165.726
transfer-size,143364
resource-size,143030
server-response-time,30.615000000000002
first-contentful-paint,763.6479999999999
largest-contentful-paint,3100.236
speed-index,5513.739914382742
total-blocking-time,3739.1759999999995
cumulative-layout-shift,0
interactive,4652.824
transfer-size,143364
resource-size,143030
server-response-time,34.122
first-contentful-paint,765.3720000000001
largest-contentful-paint,3103.029
speed-index,5289.932502437196
total-blocking-time,3735.8139999999994
cumulative-layout-shift,0
interactive,4651.186
transfer-size,143364
resource-size,143030
server-response-time,24.847
first-contentful-paint,771.154
largest-contentful-paint,3164.8655
speed-index,5151.0494060014635
total-blocking-time,3816.923
cumulative-layout-shift,0
interactive,4738.076999999999
transfer-size,143364
resource-size,143030
server-response-time,30.173999999999992
first-contentful-paint,758.558
largest-contentful-paint,3171.9185
speed-index,5189.79471085755
total-blocking-time,3856.2210000000005
cumulative-layout-shift,0
interactive,4764.779
transfer-size,143364
resource-size,143030
server-response-time,25.242000000000004
first-contentful-paint,765.012
largest-contentful-paint,3100.259
speed-index,5496.448836428057
total-blocking-time,3725.494
cumulative-layout-shift,0
interactive,4640.505999999999
transfer-size,143364
resource-size,143030
server-response-time,36.964999999999996
first-contentful-paint,756.604
largest-contentful-paint,2638.953
speed-index,4307.050898236372
total-blocking-time,2801.6979999999994
cumulative-layout-shift,0
interactive,3708.3019999999997
transfer-size,143364
resource-size,143030
server-response-time,24.205
first-contentful-paint,765.672
largest-contentful-paint,3255.754
speed-index,6010.071656468075
total-blocking-time,4048.1639999999998
cumulative-layout-shift,0
interactive,4963.835999999999
transfer-size,143364
resource-size,143030
server-response-time,30.522999999999996
first-contentful-paint,775.4259999999999
largest-contentful-paint,3238.5694999999996
speed-index,5893.876257558735
total-blocking-time,3957.287
cumulative-layout-shift,0
interactive,4882.713
transfer-size,143364
resource-size,143030
server-response-time,23.346999999999994
first-contentful-paint,759.404
largest-contentful-paint,3267.553
speed-index,6014.878248207492
total-blocking-time,4064.798
cumulative-layout-shift,0
interactive,4974.201999999999
transfer-size,143364
resource-size,143030
server-response-time,24.25699999999999
first-contentful-paint,764.952
largest-contentful-paint,2997.214
speed-index,5780.2001684380175
total-blocking-time,3623.5239999999994
cumulative-layout-shift,0
interactive,4538.476
transfer-size,143364
resource-size,143030
server-response-time,29.62899999999999
first-contentful-paint,778.616
largest-contentful-paint,3262.962
speed-index,6119.858659760107
total-blocking-time,3989.192
cumulative-layout-shift,0
interactive,4917.808
transfer-size,143364
resource-size,143030
server-response-time,29.668999999999997
first-contentful-paint,768.174
largest-contentful-paint,3301.6304999999998
speed-index,6102.44271193804
total-blocking-time,4116.913
cumulative-layout-shift,0
interactive,5035.0869999999995
transfer-size,143364
resource-size,143030
server-response-time,23.61
first-contentful-paint,752.548
largest-contentful-paint,3219.411
speed-index,5936.931514267084
total-blocking-time,3951.2260000000006
cumulative-layout-shift,0
interactive,4853.774
transfer-size,143364
resource-size,143030
server-response-time,26.744
first-contentful-paint,753.0440000000001
largest-contentful-paint,3212.783
speed-index,5751.469128229994
total-blocking-time,3936.478
cumulative-layout-shift,0
interactive,4839.522
transfer-size,143364
resource-size,143030
server-response-time,23.741999999999997
first-contentful-paint,755.4380000000001
largest-contentful-paint,2967.0785
speed-index,5215.240065662241
total-blocking-time,3449.781
cumulative-layout-shift,0
interactive,4355.219
transfer-size,143364
resource-size,143030
server-response-time,25.358000000000004
first-contentful-paint,856.249
largest-contentful-paint,3414.3734999999997
speed-index,5516.106269017628
total-blocking-time,4194.5
cumulative-layout-shift,0
interactive,5200.749
transfer-size,143364
resource-size,143030
server-response-time,29.894999999999982
first-contentful-paint,770.4759999999999
largest-contentful-paint,3289.8569999999995
speed-index,6270.183630827751
total-blocking-time,4076.7619999999997
cumulative-layout-shift,0
interactive,4997.237999999999
transfer-size,143364
resource-size,143030
server-response-time,24.433999999999997
first-contentful-paint,776.6759999999999
largest-contentful-paint,3251.5069999999996
speed-index,6376.186866678383
total-blocking-time,4019.162
cumulative-layout-shift,0
interactive,4945.838
transfer-size,143364
resource-size,143030
server-response-time,29.24600000000001
first-contentful-paint,810
largest-contentful-paint,3226
speed-index,5853.126075240968
total-blocking-time,3865
cumulative-layout-shift,0
interactive,4825
transfer-size,143364
resource-size,143030
server-response-time,29.799999999999997
first-contentful-paint,807.194
largest-contentful-paint,3255.3954999999996
speed-index,5883.6276472567915
total-blocking-time,3924.403
cumulative-layout-shift,0
interactive,4881.597
transfer-size,143364
resource-size,143030
server-response-time,23.573999999999998
first-contentful-paint,768.932
largest-contentful-paint,3020.699
speed-index,5203.366813846287
total-blocking-time,3523.0340000000006
cumulative-layout-shift,0
interactive,4441.966
transfer-size,143364
resource-size,143030
server-response-time,29.010000000000005
first-contentful-paint,755.4380000000001
largest-contentful-paint,3212.0785
speed-index,5671.019193359478
total-blocking-time,3931.281
cumulative-layout-shift,0
interactive,4836.719
transfer-size,143364
resource-size,143030
server-response-time,25.503
first-contentful-paint,752.77
largest-contentful-paint,2913.0775000000003
speed-index,4958.527710230652
total-blocking-time,3338.6150000000002
cumulative-layout-shift,0
interactive,4241.385
transfer-size,143364
resource-size,143030
server-response-time,23.105000000000004
first-contentful-paint,755.8119999999999
largest-contentful-paint,3310.859
speed-index,6043.502093471363
total-blocking-time,4166.594
cumulative-layout-shift,0
interactive,5072.406
transfer-size,143364
resource-size,143030
server-response-time,24.795
first-contentful-paint,772.818
largest-contentful-paint,3312.1135
speed-index,6019.379153709124
total-blocking-time,4122.590999999999
cumulative-layout-shift,0
interactive,5045.409
transfer-size,143364
resource-size,143030
server-response-time,30.511000000000003
first-contentful-paint,759.8
largest-contentful-paint,3236.35
speed-index,5838.4987720043455
total-blocking-time,3997.5999999999995
cumulative-layout-shift,0
interactive,4907.4
transfer-size,143364
resource-size,143030
server-response-time,31.802999999999997
first-contentful-paint,788.838
largest-contentful-paint,3235.1285
speed-index,5853.759016293695
total-blocking-time,3909.581
cumulative-layout-shift,0
interactive,4848.419
transfer-size,143364
resource-size,143030
server-response-time,26.102999999999994
first-contentful-paint,802.9259999999999
largest-contentful-paint,3308.1944999999996
speed-index,6063.042024706767
total-blocking-time,4054.037
cumulative-layout-shift,0
interactive,5006.963
transfer-size,143364
resource-size,143030
server-response-time,26.264000000000003
first-contentful-paint,758.164
largest-contentful-paint,3245.623
speed-index,5857.0042328980435
total-blocking-time,4017.4180000000006
cumulative-layout-shift,0
interactive,4925.582
transfer-size,143364
resource-size,143030
server-response-time,29.767000000000003
first-contentful-paint,774.0540000000001
largest-contentful-paint,3183.0405
speed-index,5738.776119910126
total-blocking-time,3857.973
cumulative-layout-shift,0
interactive,4782.027
transfer-size,143364
resource-size,143030
server-response-time,31.340999999999994
first-contentful-paint,4374.49
largest-contentful-paint,4374.49
speed-index,5593.075047985552
total-blocking-time,112.5
cumulative-layout-shift,0
interactive,4536.99
transfer-size,143364
resource-size,143030
server-response-time,23.30400000000001
first-contentful-paint,1708.117
largest-contentful-paint,3074.578
speed-index,5726.4680031162125
total-blocking-time,2778.9219999999996
cumulative-layout-shift,0
interactive,4624.039
transfer-size,143364
resource-size,143030
