Metric,Value
first-contentful-paint,810
largest-contentful-paint,250384
speed-index,16924.698417856493
total-blocking-time,13245
cumulative-layout-shift,0
interactive,260384
transfer-size,50311508
resource-size,50311170
server-response-time,24.682000000000002
first-contentful-paint,755.2819999999999
largest-contentful-paint,250903.6025
speed-index,23023.669500022697
total-blocking-time,13747
cumulative-layout-shift,0
interactive,260903.6025
transfer-size,50311508
resource-size,50311170
server-response-time,23.479
first-contentful-paint,756.9960000000001
largest-contentful-paint,250152.745
speed-index,16407.25940006008
total-blocking-time,12994
cumulative-layout-shift,0
interactive,260152.745
transfer-size,50311508
resource-size,50311170
server-response-time,25.889999999999993
first-contentful-paint,757.2919999999999
largest-contentful-paint,249904.115
speed-index,21278.353255150934
total-blocking-time,12746.353999999985
cumulative-layout-shift,0
interactive,259904.115
transfer-size,50311508
resource-size,50311170
server-response-time,23.5
first-contentful-paint,757
largest-contentful-paint,250907.75
speed-index,26084.110800004004
total-blocking-time,13803.5
cumulative-layout-shift,0
interactive,260907.75
transfer-size,50311508
resource-size,50311170
server-response-time,23.122
first-contentful-paint,754.512
largest-contentful-paint,251070.63999999998
speed-index,26907.734721757046
total-blocking-time,13915
cumulative-layout-shift,0
interactive,261070.63999999998
transfer-size,50311508
resource-size,50311170
server-response-time,24.736000000000004
first-contentful-paint,755.9200000000001
largest-contentful-paint,251108.40000000002
speed-index,30819.454999946593
total-blocking-time,13951
cumulative-layout-shift,0
interactive,261108.40000000002
transfer-size,50311508
resource-size,50311170
server-response-time,23.195
first-contentful-paint,752.8340000000001
largest-contentful-paint,249522.54249999998
speed-index,20456.732300042724
total-blocking-time,12369
cumulative-layout-shift,0
interactive,259522.54249999998
transfer-size,50311508
resource-size,50311170
server-response-time,25.004999999999995
first-contentful-paint,752.9680000000001
largest-contentful-paint,250856.71
speed-index,25105.39656552454
total-blocking-time,15142
cumulative-layout-shift,0
interactive,260856.71
transfer-size,50311508
resource-size,50311170
server-response-time,24.75099999999999
first-contentful-paint,758.1400000000001
largest-contentful-paint,250484.17500000002
speed-index,23106.70764569421
total-blocking-time,13324
cumulative-layout-shift,0
interactive,260484.17500000002
transfer-size,50311508
resource-size,50311170
server-response-time,25.400999999999996
first-contentful-paint,755.406
largest-contentful-paint,251466.7575
speed-index,31900.14355004139
total-blocking-time,14309.999999999985
cumulative-layout-shift,0
interactive,261466.7575
transfer-size,50311508
resource-size,50311170
server-response-time,24.766000000000005
first-contentful-paint,756.29
largest-contentful-paint,251408.8625
speed-index,26055.367449915884
total-blocking-time,14251
cumulative-layout-shift,0
interactive,261408.8625
transfer-size,50311508
resource-size,50311170
server-response-time,28.685999999999993
first-contentful-paint,754.788
largest-contentful-paint,250558.985
speed-index,22149.08938222977
total-blocking-time,13403
cumulative-layout-shift,0
interactive,260558.985
transfer-size,50311508
resource-size,50311170
server-response-time,25.099000000000004
first-contentful-paint,765.674
largest-contentful-paint,251263.5925
speed-index,31277.785905241704
total-blocking-time,14094
cumulative-layout-shift,0
interactive,261263.5925
transfer-size,50311508
resource-size,50311170
server-response-time,25.156999999999996
first-contentful-paint,810
largest-contentful-paint,250543
speed-index,18540.576600074768
total-blocking-time,13318
cumulative-layout-shift,0
interactive,260543
transfer-size,50311508
resource-size,50311170
server-response-time,24.153999999999996
first-contentful-paint,766.838
largest-contentful-paint,250265.0475
speed-index,27602.07995002136
total-blocking-time,13094
cumulative-layout-shift,0
interactive,260265.0475
transfer-size,50311508
resource-size,50311170
server-response-time,25.875
first-contentful-paint,752.568
largest-contentful-paint,250461.21000000002
speed-index,28621.036982183155
total-blocking-time,13315.716
cumulative-layout-shift,0
interactive,260461.21000000002
transfer-size,50311508
resource-size,50311170
server-response-time,23.413000000000004
first-contentful-paint,799.644
largest-contentful-paint,250557.055
speed-index,28899.556300026703
total-blocking-time,13345
cumulative-layout-shift,0
interactive,260557.055
transfer-size,50311508
resource-size,50311170
server-response-time,58.637
first-contentful-paint,754.0740000000001
largest-contentful-paint,250987.0925
speed-index,25409.486527504836
total-blocking-time,13831.999999999985
cumulative-layout-shift,0
interactive,260987.0925
transfer-size,50311508
resource-size,50311170
server-response-time,24.092
first-contentful-paint,779.71
largest-contentful-paint,250745.1375
speed-index,23566.405921153008
total-blocking-time,13603.145
cumulative-layout-shift,0
interactive,260745.1375
transfer-size,50311508
resource-size,50311170
server-response-time,31.608000000000004
first-contentful-paint,759.2999999999993
largest-contentful-paint,252953.94999999998
speed-index,18807.14262637005
total-blocking-time,15820.349999999971
cumulative-layout-shift,0
interactive,262953.94999999995
transfer-size,50311508
resource-size,50311170
server-response-time,30.702000000000226
first-contentful-paint,755.222
largest-contentful-paint,250519.52750000003
speed-index,28812.468349989318
total-blocking-time,13363
cumulative-layout-shift,0
interactive,260519.52750000003
transfer-size,50311508
resource-size,50311170
server-response-time,27.209000000000003
first-contentful-paint,755.076
largest-contentful-paint,250620.345
speed-index,27300.887844322242
total-blocking-time,13469.462
cumulative-layout-shift,0
interactive,260620.345
transfer-size,50311508
resource-size,50311170
server-response-time,24.121999999999993
first-contentful-paint,751.2919999999999
largest-contentful-paint,250667.615
speed-index,21122.976252735465
total-blocking-time,13533.354
cumulative-layout-shift,0
interactive,260667.615
transfer-size,50311508
resource-size,50311170
server-response-time,23.657000000000004
first-contentful-paint,752.634
largest-contentful-paint,249473.29249999998
speed-index,16082.631299895858
total-blocking-time,12320
cumulative-layout-shift,0
interactive,259473.29249999998
transfer-size,50311508
resource-size,50311170
server-response-time,46.903999999999996
first-contentful-paint,758.3199999999999
largest-contentful-paint,250773.40000000002
speed-index,27911.236316374725
total-blocking-time,13614.5
cumulative-layout-shift,0
interactive,260799.90000000002
transfer-size,50311508
resource-size,50311170
server-response-time,27.796999999999997
first-contentful-paint,753.3119999999999
largest-contentful-paint,250562.14
speed-index,25121.84971839004
total-blocking-time,13408
cumulative-layout-shift,0
interactive,260562.13999999998
transfer-size,50311508
resource-size,50311170
server-response-time,25.785000000000004
first-contentful-paint,760.5219999999999
largest-contentful-paint,250882.1525
speed-index,26461.087462773787
total-blocking-time,13719
cumulative-layout-shift,0
interactive,260882.1525
transfer-size,50311508
resource-size,50311170
server-response-time,29.838
first-contentful-paint,758.3599999999999
largest-contentful-paint,250051.44999999998
speed-index,23895.251607564518
total-blocking-time,12891
cumulative-layout-shift,0
interactive,260051.44999999998
transfer-size,50311508
resource-size,50311170
server-response-time,28.260000000000005
first-contentful-paint,756.3520000000001
largest-contentful-paint,251794.94
speed-index,29104.07779995861
total-blocking-time,14637
cumulative-layout-shift,0
interactive,261794.94
transfer-size,50311508
resource-size,50311170
server-response-time,25.448999999999998
first-contentful-paint,753.3219999999999
largest-contentful-paint,249509.15249999997
speed-index,15504.863049891852
total-blocking-time,12355
cumulative-layout-shift,0
interactive,259509.15249999997
transfer-size,50311508
resource-size,50311170
server-response-time,23.476999999999997
first-contentful-paint,755.4380000000001
largest-contentful-paint,250615.7975
speed-index,22704.9048608424
total-blocking-time,13495.280999999999
cumulative-layout-shift,0
interactive,260615.79750000002
transfer-size,50311508
resource-size,50311170
server-response-time,25.469
first-contentful-paint,752.328
largest-contentful-paint,250929.91
speed-index,27610.97980008278
total-blocking-time,13778.836
cumulative-layout-shift,0
interactive,260929.90999999997
transfer-size,50311508
resource-size,50311170
server-response-time,25.511000000000003
first-contentful-paint,756.5740000000001
largest-contentful-paint,250813.861
speed-index,25277.13064250565
total-blocking-time,13654
cumulative-layout-shift,0
interactive,260813.861
transfer-size,50311508
resource-size,50311170
server-response-time,25.108000000000004
first-contentful-paint,752.4780000000001
largest-contentful-paint,253778.717
speed-index,20514.068813636004
total-blocking-time,16672.761
cumulative-layout-shift,0
interactive,263778.717
transfer-size,50311508
resource-size,50311170
server-response-time,28.812999999999995
first-contentful-paint,755.816
largest-contentful-paint,250364.27
speed-index,21666.325810751292
total-blocking-time,13207
cumulative-layout-shift,0
interactive,260364.27
transfer-size,50311508
resource-size,50311170
server-response-time,23.442000000000007
first-contentful-paint,760.2539999999999
largest-contentful-paint,250569.381
speed-index,22931.788815351105
total-blocking-time,13404
cumulative-layout-shift,0
interactive,260569.381
transfer-size,50311508
resource-size,50311170
server-response-time,24.990999999999993
first-contentful-paint,753.56
largest-contentful-paint,251135.45
speed-index,28473.42950187445
total-blocking-time,13981
cumulative-layout-shift,0
interactive,261135.45
transfer-size,50311508
resource-size,50311170
server-response-time,23.412999999999997
first-contentful-paint,754.1859999999999
largest-contentful-paint,249445.23249999998
speed-index,16182.43674067328
total-blocking-time,12290
cumulative-layout-shift,0
interactive,259445.23249999998
transfer-size,50311508
resource-size,50311170
server-response-time,35.338
first-contentful-paint,775.3240000000001
largest-contentful-paint,250972.655
speed-index,25985.497940261597
total-blocking-time,13796.338
cumulative-layout-shift,0
interactive,260972.65500000003
transfer-size,50311508
resource-size,50311170
server-response-time,23.912999999999997
first-contentful-paint,761.162
largest-contentful-paint,250742.9525
speed-index,21118.25685002937
total-blocking-time,13579
cumulative-layout-shift,0
interactive,260742.9525
transfer-size,50311508
resource-size,50311170
server-response-time,27.75
first-contentful-paint,755.108
largest-contentful-paint,250976.662
speed-index,26500.30233159718
total-blocking-time,13907.446
cumulative-layout-shift,0
interactive,260976.662
transfer-size,50311508
resource-size,50311170
server-response-time,29.301999999999992
first-contentful-paint,754.576
largest-contentful-paint,250745.72
speed-index,19570.677139719868
total-blocking-time,13646.712
cumulative-layout-shift,0
interactive,260745.72
transfer-size,50311508
resource-size,50311170
server-response-time,25.114000000000004
first-contentful-paint,750.6020000000001
largest-contentful-paint,251175.90300000002
speed-index,19667.859507395333
total-blocking-time,14112.699
cumulative-layout-shift,0
interactive,261175.90300000002
transfer-size,50311508
resource-size,50311170
server-response-time,24.224000000000004
first-contentful-paint,755.9939999999999
largest-contentful-paint,253059.991
speed-index,27996.61900336779
total-blocking-time,15983.00300000003
cumulative-layout-shift,0
interactive,263059.99100000004
transfer-size,50311508
resource-size,50311170
server-response-time,23.967999999999996
first-contentful-paint,758.1880000000001
largest-contentful-paint,252555.282
speed-index,26026.186488249354
total-blocking-time,15434.905999999999
cumulative-layout-shift,0
interactive,262555.282
transfer-size,50311508
resource-size,50311170
server-response-time,26.78500000000031
first-contentful-paint,756.836
largest-contentful-paint,251003.25400000002
speed-index,28925.132434194806
total-blocking-time,14096.582
cumulative-layout-shift,0
interactive,261003.25400000002
transfer-size,50311508
resource-size,50311170
server-response-time,26.840999999999894
first-contentful-paint,753.9339999999995
largest-contentful-paint,250681.901
speed-index,31262.506870098558
total-blocking-time,13572.033
cumulative-layout-shift,0
interactive,260681.901
transfer-size,50311508
resource-size,50311170
server-response-time,27.337999999999738
first-contentful-paint,756.9580000000001
largest-contentful-paint,251088.6975
speed-index,31689.724904548646
total-blocking-time,13957.521
cumulative-layout-shift,0
interactive,261088.6975
transfer-size,50311508
resource-size,50311170
server-response-time,26.282000000000153
first-contentful-paint,756.99
largest-contentful-paint,250563.485
speed-index,16921.023425584597
total-blocking-time,13531.505000000001
cumulative-layout-shift,0
interactive,260563.485
transfer-size,50311508
resource-size,50311170
server-response-time,25.476999999999997
