Metric,Value
first-contentful-paint,775.95
largest-contentful-paint,775.95
speed-index,775.95
total-blocking-time,19
cumulative-layout-shift,0
interactive,1301.4375
transfer-size,142369
resource-size,142035
server-response-time,80.25200000000001
first-contentful-paint,803.8679999999999
largest-contentful-paint,803.8679999999999
speed-index,803.8679999999999
total-blocking-time,52
cumulative-layout-shift,0
interactive,1844.335
transfer-size,142369
resource-size,142035
server-response-time,56.160999999999994
first-contentful-paint,757.402
largest-contentful-paint,757.402
speed-index,757.402
total-blocking-time,0.5
cumulative-layout-shift,0
interactive,1255.2525
transfer-size,142369
resource-size,142035
server-response-time,38.105
first-contentful-paint,768.24
largest-contentful-paint,768.24
speed-index,768.24
total-blocking-time,45.5
cumulative-layout-shift,0
interactive,1793.3000000000002
transfer-size,142369
resource-size,142035
server-response-time,39.911
first-contentful-paint,768.5340000000001
largest-contentful-paint,768.5340000000001
speed-index,768.5340000000001
total-blocking-time,48
cumulative-layout-shift,0
interactive,1796.1675
transfer-size,142369
resource-size,142035
server-response-time,41.022999999999996
first-contentful-paint,756.5440000000001
largest-contentful-paint,756.5440000000001
speed-index,756.5440000000001
total-blocking-time,8.5
cumulative-layout-shift,0
interactive,1266.68
transfer-size,142369
resource-size,142035
server-response-time,57.212
first-contentful-paint,762.124
largest-contentful-paint,762.124
speed-index,762.124
total-blocking-time,4
cumulative-layout-shift,0
interactive,1269.1550000000002
transfer-size,142369
resource-size,142035
server-response-time,35.955
first-contentful-paint,772.26
largest-contentful-paint,772.26
speed-index,772.26
total-blocking-time,0
cumulative-layout-shift,0
interactive,772.26
transfer-size,142369
resource-size,142035
server-response-time,36.06999999999999
first-contentful-paint,757.626
largest-contentful-paint,757.626
speed-index,757.626
total-blocking-time,1.5
cumulative-layout-shift,0
interactive,1257.0324999999998
transfer-size,142369
resource-size,142035
server-response-time,55.173
first-contentful-paint,761.19
largest-contentful-paint,761.19
speed-index,761.19
total-blocking-time,12.5
cumulative-layout-shift,0
interactive,1276.4875000000002
transfer-size,142369
resource-size,142035
server-response-time,40.57
first-contentful-paint,755.778
largest-contentful-paint,755.778
speed-index,755.778
total-blocking-time,23.5
cumulative-layout-shift,0
interactive,1280.7224999999999
transfer-size,142369
resource-size,142035
server-response-time,37.68600000000001
first-contentful-paint,755.502
largest-contentful-paint,755.502
speed-index,755.502
total-blocking-time,7
cumulative-layout-shift,0
interactive,1263.8775
transfer-size,142369
resource-size,142035
server-response-time,38.69
first-contentful-paint,836.454
largest-contentful-paint,836.454
speed-index,836.454
total-blocking-time,22
cumulative-layout-shift,0
interactive,1380.0675
transfer-size,142369
resource-size,142035
server-response-time,60.934999999999995
first-contentful-paint,786.8800000000001
largest-contentful-paint,786.8800000000001
speed-index,786.8800000000001
total-blocking-time,22
cumulative-layout-shift,0
interactive,1318.1000000000001
transfer-size,142369
resource-size,142035
server-response-time,39.557
first-contentful-paint,762.2180000000001
largest-contentful-paint,762.2180000000001
speed-index,762.2180000000001
total-blocking-time,11.5
cumulative-layout-shift,0
interactive,1276.7725
transfer-size,142369
resource-size,142035
server-response-time,50.051
first-contentful-paint,772.432
largest-contentful-paint,772.432
speed-index,772.432
total-blocking-time,0.5
cumulative-layout-shift,0
interactive,1274.54
transfer-size,142369
resource-size,142035
server-response-time,38.13099999999999
first-contentful-paint,777.316
largest-contentful-paint,777.316
speed-index,777.316
total-blocking-time,13
cumulative-layout-shift,0
interactive,1297.145
transfer-size,142369
resource-size,142035
server-response-time,38.04299999999999
first-contentful-paint,757.326
largest-contentful-paint,757.326
speed-index,757.326
total-blocking-time,0.5
cumulative-layout-shift,0
interactive,1257.6575
transfer-size,142369
resource-size,142035
server-response-time,36.909
first-contentful-paint,782.5160000000001
largest-contentful-paint,1770.645
speed-index,782.5160000000001
total-blocking-time,61
cumulative-layout-shift,0
interactive,1851.645
transfer-size,142369
resource-size,142035
server-response-time,45.660000000000004
first-contentful-paint,779.28
largest-contentful-paint,779.28
speed-index,779.28
total-blocking-time,88
cumulative-layout-shift,0
interactive,1874.6
transfer-size,142369
resource-size,142035
server-response-time,37.358999999999995
first-contentful-paint,761.7080000000001
largest-contentful-paint,761.7080000000001
speed-index,761.7080000000001
total-blocking-time,15
cumulative-layout-shift,0
interactive,1279.6350000000002
transfer-size,142369
resource-size,142035
server-response-time,51.184000000000005
first-contentful-paint,761.8599999999999
largest-contentful-paint,761.8599999999999
speed-index,761.8599999999999
total-blocking-time,15.5
cumulative-layout-shift,0
interactive,1280.3249999999998
transfer-size,142369
resource-size,142035
server-response-time,49.91
first-contentful-paint,756.3979999999999
largest-contentful-paint,756.3979999999999
speed-index,756.3979999999999
total-blocking-time,118
cumulative-layout-shift,0
interactive,1875.9975
transfer-size,142369
resource-size,142035
server-response-time,39.684
first-contentful-paint,768.9280000000001
largest-contentful-paint,768.9280000000001
speed-index,768.9280000000001
total-blocking-time,18.5
cumulative-layout-shift,0
interactive,1292.16
transfer-size,142369
resource-size,142035
server-response-time,49.07900000000001
first-contentful-paint,755.5319999999999
largest-contentful-paint,755.5319999999999
speed-index,755.5319999999999
total-blocking-time,12
cumulative-layout-shift,0
interactive,1268.915
transfer-size,142369
resource-size,142035
server-response-time,36.169000000000004
first-contentful-paint,758.518
largest-contentful-paint,758.518
speed-index,758.518
total-blocking-time,0
cumulative-layout-shift,0
interactive,758.518
transfer-size,142369
resource-size,142035
server-response-time,36.102999999999994
first-contentful-paint,756.0239999999999
largest-contentful-paint,756.0239999999999
speed-index,756.0239999999999
total-blocking-time,3
cumulative-layout-shift,0
interactive,1258.0299999999997
transfer-size,142369
resource-size,142035
server-response-time,38.318999999999996
first-contentful-paint,761.9359999999999
largest-contentful-paint,761.9359999999999
speed-index,761.9359999999999
total-blocking-time,50
cumulative-layout-shift,0
