Metric,Value
first-contentful-paint,820.162
largest-contentful-paint,1789.7024999999999
speed-index,1346.4898040001867
total-blocking-time,6.5
cumulative-layout-shift,0
interactive,1344.2024999999999
transfer-size,142349
resource-size,142015
server-response-time,25.951
first-contentful-paint,755.5060000000001
largest-contentful-paint,1725.8825000000002
speed-index,755.5060000000001
total-blocking-time,18.5
cumulative-layout-shift,0
interactive,1275.3825000000002
transfer-size,142349
resource-size,142015
server-response-time,25.682999999999993
first-contentful-paint,753.156
largest-contentful-paint,1706.945
speed-index,753.156
total-blocking-time,6.5
cumulative-layout-shift,0
interactive,1260.445
transfer-size,142349
resource-size,142015
server-response-time,23.556000000000004
first-contentful-paint,753.732
largest-contentful-paint,1697.665
speed-index,757.6803519890785
total-blocking-time,3.5
cumulative-layout-shift,0
interactive,1254.665
transfer-size,142349
resource-size,142015
server-response-time,24.342000000000006
first-contentful-paint,754.5360000000001
largest-contentful-paint,1706.67
speed-index,754.5360000000001
total-blocking-time,2
cumulative-layout-shift,0
interactive,1257.67
transfer-size,142349
resource-size,142015
server-response-time,25.221000000000004
first-contentful-paint,757.5720000000001
largest-contentful-paint,1726.4650000000001
speed-index,757.5720000000001
total-blocking-time,20.5
cumulative-layout-shift,0
interactive,1279.9650000000001
transfer-size,142349
resource-size,142015
server-response-time,30.281000000000006
first-contentful-paint,764.1500000000001
largest-contentful-paint,1736.6875
speed-index,764.1500000000001
total-blocking-time,21
cumulative-layout-shift,0
interactive,1288.6875
transfer-size,142349
resource-size,142015
server-response-time,30.187000000000012
first-contentful-paint,757.152
largest-contentful-paint,1719.94
speed-index,757.152
total-blocking-time,7
cumulative-layout-shift,0
interactive,1265.94
transfer-size,142349
resource-size,142015
server-response-time,28.607999999999997
first-contentful-paint,757.826
largest-contentful-paint,1703.7825
speed-index,757.826
total-blocking-time,0
cumulative-layout-shift,0
interactive,757.826
transfer-size,142349
resource-size,142015
server-response-time,26.805999999999997
first-contentful-paint,762.2660000000001
largest-contentful-paint,1734.3325
speed-index,762.2660000000001
total-blocking-time,17.5
cumulative-layout-shift,0
interactive,1282.8325
transfer-size,142349
resource-size,142015
server-response-time,48.105999999999995
first-contentful-paint,760.0799999999999
largest-contentful-paint,1730.6
speed-index,760.0799999999999
total-blocking-time,17.5
cumulative-layout-shift,0
interactive,1280.1
transfer-size,142349
resource-size,142015
server-response-time,42.593
first-contentful-paint,770.104
largest-contentful-paint,1722.13
speed-index,876.4941039567946
total-blocking-time,0.5
cumulative-layout-shift,0
interactive,1274.13
transfer-size,142349
resource-size,142015
server-response-time,37.836
first-contentful-paint,815.954
largest-contentful-paint,1812.931
speed-index,1349.7788039594648
total-blocking-time,14.5
cumulative-layout-shift,0
interactive,1346.9425
transfer-size,142349
resource-size,142015
server-response-time,25.869
first-contentful-paint,756.0219999999999
largest-contentful-paint,1716.5275
speed-index,756.0219999999999
total-blocking-time,17
cumulative-layout-shift,0
interactive,1274.5275
transfer-size,142349
resource-size,142015
server-response-time,66.36699999999999
first-contentful-paint,802.934
largest-contentful-paint,1784.1675
speed-index,841.6171079069136
total-blocking-time,17.5
cumulative-layout-shift,0
interactive,1333.6675
transfer-size,142349
resource-size,142015
server-response-time,38.24600000000001
first-contentful-paint,758.768
largest-contentful-paint,1721.96
speed-index,758.768
total-blocking-time,8.5
cumulative-layout-shift,0
interactive,1269.46
transfer-size,142349
resource-size,142015
server-response-time,26.758000000000003
first-contentful-paint,753.8320000000001
largest-contentful-paint,1654.79
speed-index,753.8320000000001
total-blocking-time,0
cumulative-layout-shift,0
interactive,753.8320000000001
transfer-size,142349
resource-size,142015
server-response-time,25.506999999999998
first-contentful-paint,752.9300000000001
largest-contentful-paint,1694.6625
speed-index,752.9300000000001
total-blocking-time,0
cumulative-layout-shift,0
interactive,752.9300000000001
transfer-size,142349
resource-size,142015
server-response-time,23.738999999999997
first-contentful-paint,768.114
largest-contentful-paint,1743.6425
speed-index,768.114
total-blocking-time,20
cumulative-layout-shift,0
interactive,1292.6425
transfer-size,142349
resource-size,142015
server-response-time,31.983000000000004
first-contentful-paint,756.942
largest-contentful-paint,1715.6775
speed-index,756.942
total-blocking-time,8
cumulative-layout-shift,0
interactive,1266.6775
transfer-size,142349
resource-size,142015
server-response-time,30.796000000000006
first-contentful-paint,820.79
largest-contentful-paint,1780.4875
speed-index,820.79
total-blocking-time,0.5
cumulative-layout-shift,0
interactive,1334.9875
transfer-size,142349
resource-size,142015
server-response-time,106.118
first-contentful-paint,780.434
largest-contentful-paint,1766.0425
speed-index,780.434
total-blocking-time,28
cumulative-layout-shift,0
interactive,1316.0425
