Metric,Value
first-contentful-paint,1133.236
largest-contentful-paint,1133.236
speed-index,1133.236
total-blocking-time,0
cumulative-layout-shift,0
interactive,1133.236
transfer-size,143362
resource-size,143028
server-response-time,41.981
first-contentful-paint,2105.538
largest-contentful-paint,2105.538
speed-index,2105.538
total-blocking-time,0
cumulative-layout-shift,0
interactive,2105.538
transfer-size,143362
resource-size,143028
server-response-time,39.952
first-contentful-paint,1132.192
largest-contentful-paint,1132.192
speed-index,1132.192
total-blocking-time,0
cumulative-layout-shift,0
interactive,1132.192
transfer-size,143362
resource-size,143028
server-response-time,25.124999999999993
first-contentful-paint,1309.4859999999999
largest-contentful-paint,2206.486
speed-index,1309.4859999999999
total-blocking-time,11
cumulative-layout-shift,0
interactive,1720.4859999999999
transfer-size,143362
resource-size,143028
server-response-time,28.464000000000006
first-contentful-paint,1156.992
largest-contentful-paint,1156.992
speed-index,1156.992
total-blocking-time,55.00000000000023
cumulative-layout-shift,0
interactive,2086.992
transfer-size,143362
resource-size,143028
server-response-time,30.23400000000001
first-contentful-paint,1140.186
largest-contentful-paint,1140.186
speed-index,1140.186
total-blocking-time,12.5
cumulative-layout-shift,0
interactive,1552.686
transfer-size,143362
resource-size,143028
server-response-time,31.485
first-contentful-paint,1153.718
largest-contentful-paint,1153.718
speed-index,1153.718
total-blocking-time,9.999999999999886
cumulative-layout-shift,0
interactive,1563.7179999999998
transfer-size,143362
resource-size,143028
server-response-time,31.518
first-contentful-paint,1134.112
largest-contentful-paint,1134.112
speed-index,1134.112
total-blocking-time,0
cumulative-layout-shift,0
interactive,1134.112
transfer-size,143362
resource-size,143028
server-response-time,24.947000000000003
first-contentful-paint,1133.086
largest-contentful-paint,1133.086
speed-index,1133.086
total-blocking-time,8
cumulative-layout-shift,0
interactive,1541.086
transfer-size,143362
resource-size,143028
server-response-time,25.868000000000002
first-contentful-paint,1152.814
largest-contentful-paint,1152.814
speed-index,1152.814
total-blocking-time,30.000000000000227
cumulative-layout-shift,0
interactive,2057.8140000000003
transfer-size,143362
resource-size,143028
server-response-time,44.974000000000004
first-contentful-paint,1153.816
largest-contentful-paint,2059.816
speed-index,1153.816
total-blocking-time,30.999999999999773
cumulative-layout-shift,0
interactive,2059.816
transfer-size,143362
resource-size,143028
server-response-time,36.188
first-contentful-paint,1140.346
largest-contentful-paint,1140.346
speed-index,1140.346
total-blocking-time,12.5
cumulative-layout-shift,0
interactive,1552.846
transfer-size,143362
resource-size,143028
server-response-time,25.931000000000004
first-contentful-paint,1137.544
largest-contentful-paint,1137.544
speed-index,1137.544
total-blocking-time,9.5
cumulative-layout-shift,0
interactive,1547.044
transfer-size,143362
resource-size,143028
server-response-time,32.296
first-contentful-paint,1148.02
largest-contentful-paint,1148.02
speed-index,1148.02
total-blocking-time,30
cumulative-layout-shift,0
interactive,2094.02
transfer-size,143362
resource-size,143028
server-response-time,25.90000000000002
first-contentful-paint,1141.68
largest-contentful-paint,1141.68
speed-index,1141.68
total-blocking-time,12.5
cumulative-layout-shift,0
interactive,1554.18
transfer-size,143362
resource-size,143028
server-response-time,44.83899999999999
first-contentful-paint,1133.312
largest-contentful-paint,1133.312
speed-index,1133.312
total-blocking-time,5.5
cumulative-layout-shift,0
interactive,1538.812
transfer-size,143362
resource-size,143028
server-response-time,29.102999999999994
first-contentful-paint,1141.69
largest-contentful-paint,1141.69
speed-index,1141.69
total-blocking-time,0.5
cumulative-layout-shift,0
interactive,1542.19
transfer-size,143362
resource-size,143028
server-response-time,25.232999999999997
first-contentful-paint,1136.096
largest-contentful-paint,1136.096
speed-index,1136.096
total-blocking-time,11.5
cumulative-layout-shift,0
interactive,1547.596
transfer-size,143362
resource-size,143028
server-response-time,27.220999999999997
first-contentful-paint,1140.11
largest-contentful-paint,1140.11
speed-index,1140.11
total-blocking-time,33.99999999999977
cumulative-layout-shift,0
interactive,2049.1099999999997
transfer-size,143362
resource-size,143028
server-response-time,26.656000000000006
first-contentful-paint,1140.438
largest-contentful-paint,1140.438
speed-index,1140.438
total-blocking-time,39
cumulative-layout-shift,0
interactive,2054.438
transfer-size,143362
resource-size,143028
server-response-time,27.741
first-contentful-paint,1134.432
largest-contentful-paint,1134.432
speed-index,1134.432
total-blocking-time,14.5
cumulative-layout-shift,0
interactive,1548.932
transfer-size,143362
resource-size,143028
server-response-time,29.403000000000006
first-contentful-paint,1131.518
largest-contentful-paint,1131.518
speed-index,1131.518
total-blocking-time,32
cumulative-layout-shift,0
interactive,2038.518
transfer-size,143362
resource-size,143028
server-response-time,32.51299999999999
first-contentful-paint,1147.648
largest-contentful-paint,1147.648
speed-index,1147.648
total-blocking-time,11.5
cumulative-layout-shift,0
interactive,1559.148
transfer-size,143362
resource-size,143028
server-response-time,26.554000000000002
first-contentful-paint,1142.132
largest-contentful-paint,1142.132
speed-index,1142.132
total-blocking-time,9
cumulative-layout-shift,0
interactive,1581.632
transfer-size,143362
resource-size,143028
server-response-time,28.558
first-contentful-paint,1140.694
largest-contentful-paint,1140.694
speed-index,1140.694
total-blocking-time,5
cumulative-layout-shift,0
interactive,1545.694
transfer-size,143362
resource-size,143028
server-response-time,31.931000000000004
first-contentful-paint,1138.27
largest-contentful-paint,1138.27
speed-index,1138.27
total-blocking-time,6.5
cumulative-layout-shift,0
interactive,1544.77
transfer-size,143362
resource-size,143028
server-response-time,27.620000000000005
first-contentful-paint,1138.094
largest-contentful-paint,1138.094
speed-index,1138.094
total-blocking-time,13.5
cumulative-layout-shift,0
interactive,1551.594
transfer-size,143362
resource-size,143028
server-response-time,30.446999999999996
first-contentful-paint,1216.844
largest-contentful-paint,2129.844
speed-index,1307.231387990093
total-blocking-time,38
cumulative-layout-shift,0
interactive,2129.844
transfer-size,143362
resource-size,143028
server-response-time,33.824
first-contentful-paint,1129.208
largest-contentful-paint,1129.208
speed-index,1129.208
total-blocking-time,10.5
cumulative-layout-shift,0
interactive,1539.708
transfer-size,143362
resource-size,143028
server-response-time,29.994
first-contentful-paint,1135.728
largest-contentful-paint,1135.728
speed-index,1135.728
total-blocking-time,13.5
cumulative-layout-shift,0
interactive,1549.228
transfer-size,143362
resource-size,143028
server-response-time,25.293000000000006
first-contentful-paint,1135.458
largest-contentful-paint,1135.458
speed-index,1135.458
total-blocking-time,12
cumulative-layout-shift,0
interactive,1547.458
transfer-size,143362
resource-size,143028
server-response-time,35.515
first-contentful-paint,1134.496
largest-contentful-paint,1134.496
speed-index,1134.496
total-blocking-time,10.5
cumulative-layout-shift,0
interactive,1544.996
transfer-size,143362
resource-size,143028
server-response-time,27.29
first-contentful-paint,1138.272
largest-contentful-paint,1138.272
speed-index,1138.272
total-blocking-time,7.5
cumulative-layout-shift,0
interactive,1545.772
transfer-size,143362
resource-size,143028
server-response-time,30.078000000000003
first-contentful-paint,1139.044
largest-contentful-paint,1139.044
speed-index,1139.044
total-blocking-time,3
cumulative-layout-shift,0
interactive,1542.044
transfer-size,143362
resource-size,143028
server-response-time,28.750999999999998
first-contentful-paint,1132.454
largest-contentful-paint,1132.454
speed-index,1132.454
total-blocking-time,7
cumulative-layout-shift,0
interactive,1539.454
transfer-size,143362
resource-size,143028
server-response-time,26.464000000000006
first-contentful-paint,1130.458
