Metric,Value
first-contentful-paint,750.5039999999999
largest-contentful-paint,1771.7559999999999
speed-index,3889.0417718721774
total-blocking-time,83.24800000000005
cumulative-layout-shift,0
interactive,1799.2559999999999
transfer-size,143364
resource-size,143030
server-response-time,32.376000000000204
first-contentful-paint,756.508
largest-contentful-paint,1810.7620000000002
speed-index,766.1006778420735
total-blocking-time,104.5
cumulative-layout-shift,0
interactive,1839.2620000000002
transfer-size,143364
resource-size,143030
server-response-time,25.77799999999999
first-contentful-paint,754.8720000000001
largest-contentful-paint,1817.0900000000001
speed-index,754.8720000000001
total-blocking-time,111
cumulative-layout-shift,0
interactive,1817.0900000000001
transfer-size,143364
resource-size,143030
server-response-time,40.629
first-contentful-paint,872.616
largest-contentful-paint,1944.77
speed-index,1011.7136599587437
total-blocking-time,65.5
cumulative-layout-shift,0
interactive,1971.27
transfer-size,143364
resource-size,143030
server-response-time,27.835000000000008
first-contentful-paint,776.2760000000001
largest-contentful-paint,1802.8450000000003
speed-index,806.9809840239521
total-blocking-time,70
cumulative-layout-shift,0
interactive,1802.8450000000003
transfer-size,143364
resource-size,143030
server-response-time,26.08699999999999
first-contentful-paint,766.3899999999999
largest-contentful-paint,1786.585
speed-index,874.6569597952584
total-blocking-time,116
cumulative-layout-shift,0
interactive,1890.585
transfer-size,143364
resource-size,143030
server-response-time,52.321
first-contentful-paint,757.614
largest-contentful-paint,1765.421
speed-index,757.614
total-blocking-time,54
cumulative-layout-shift,0
interactive,1765.421
transfer-size,143364
resource-size,143030
server-response-time,24.982
first-contentful-paint,752.8879999999999
largest-contentful-paint,1750.61
speed-index,752.8879999999999
total-blocking-time,47
cumulative-layout-shift,0
interactive,1750.61
transfer-size,143364
resource-size,143030
server-response-time,23.431999999999995
first-contentful-paint,764.0039999999999
largest-contentful-paint,1788.5049999999999
speed-index,827.9104880414957
total-blocking-time,71
cumulative-layout-shift,0
interactive,1788.5049999999999
transfer-size,143364
resource-size,143030
server-response-time,32.504000000000005
first-contentful-paint,758.0060000000001
largest-contentful-paint,1774.009
speed-index,821.1997470483861
total-blocking-time,62
cumulative-layout-shift,0
interactive,1774.009
transfer-size,143364
resource-size,143030
server-response-time,25.242000000000004
first-contentful-paint,898.99
largest-contentful-paint,1968.2375000000002
speed-index,949.897683980226
total-blocking-time,59
cumulative-layout-shift,0
interactive,1968.2375000000002
transfer-size,143364
resource-size,143030
server-response-time,33.676
first-contentful-paint,769.3779999999999
largest-contentful-paint,1797.067
speed-index,954.8567510470039
total-blocking-time,78
cumulative-layout-shift,0
interactive,1832.067
transfer-size,143364
resource-size,143030
server-response-time,25.650000000000006
first-contentful-paint,769.634
largest-contentful-paint,1792.5425
speed-index,3798.467208135223
total-blocking-time,68
cumulative-layout-shift,0
interactive,1792.5425
transfer-size,143364
resource-size,143030
server-response-time,37.33499999999958
first-contentful-paint,751.6379999999999
largest-contentful-paint,1763.0475
speed-index,751.6379999999999
total-blocking-time,61
cumulative-layout-shift,0
interactive,1763.0475
transfer-size,143364
resource-size,143030
server-response-time,33.788999999999994
first-contentful-paint,750.238
largest-contentful-paint,1757.357
speed-index,750.238
total-blocking-time,57
cumulative-layout-shift,0
interactive,1757.357
transfer-size,143364
resource-size,143030
server-response-time,24.845000000000006
first-contentful-paint,756.4659999999999
largest-contentful-paint,1747.6989999999998
speed-index,756.4659999999999
total-blocking-time,38
cumulative-layout-shift,0
interactive,1747.6989999999998
transfer-size,143364
resource-size,143030
server-response-time,24.488
first-contentful-paint,755.2139999999999
largest-contentful-paint,1761.5175
speed-index,755.2139999999999
total-blocking-time,55
cumulative-layout-shift,0
interactive,1761.5175
transfer-size,143364
resource-size,143030
server-response-time,30.142000000000003
first-contentful-paint,754.1759999999999
largest-contentful-paint,1814.2199999999998
speed-index,754.1759999999999
total-blocking-time,109
cumulative-layout-shift,0
interactive,1814.2199999999998
transfer-size,143364
resource-size,143030
server-response-time,24.994
first-contentful-paint,750.636
largest-contentful-paint,1779.954
speed-index,750.636
total-blocking-time,80
cumulative-layout-shift,0
interactive,1805.954
transfer-size,143364
resource-size,143030
server-response-time,24.167
first-contentful-paint,773.462
largest-contentful-paint,1805.193
speed-index,842.4438655552747
total-blocking-time,73
cumulative-layout-shift,0
interactive,1833.193
transfer-size,143364
resource-size,143030
server-response-time,23.933999999999983
first-contentful-paint,757.232
largest-contentful-paint,1825.848
speed-index,767.2497854918036
total-blocking-time,119
cumulative-layout-shift,0
interactive,1854.848
transfer-size,143364
resource-size,143030
server-response-time,27.136000000000003
first-contentful-paint,759.606
largest-contentful-paint,1794.0075000000002
speed-index,759.606
total-blocking-time,82
cumulative-layout-shift,0
interactive,1794.0075000000002
transfer-size,143364
resource-size,143030
server-response-time,36.353
