Metric,Value
first-contentful-paint,753.4480000000001
largest-contentful-paint,1695.31
speed-index,1557.8411999999998
total-blocking-time,2839.5
cumulative-layout-shift,0
interactive,4584.81
transfer-size,142349
resource-size,142015
server-response-time,23.79500000000001
first-contentful-paint,771.8140000000001
largest-contentful-paint,1740.2675
speed-index,1822.3909280503751
total-blocking-time,3235.5
cumulative-layout-shift,0
interactive,5012.7675
transfer-size,142349
resource-size,142015
server-response-time,33.044
first-contentful-paint,753.108
largest-contentful-paint,1694.8849999999998
speed-index,1496.874199853134
total-blocking-time,2726.5
cumulative-layout-shift,0
interactive,4471.385
transfer-size,142349
resource-size,142015
server-response-time,23.742999999999995
first-contentful-paint,768.5819999999999
largest-contentful-paint,1746.2275
speed-index,1889.0614039314269
total-blocking-time,3348.5
cumulative-layout-shift,0
interactive,5121.7275
transfer-size,142349
resource-size,142015
server-response-time,25.432999999999993
first-contentful-paint,763.7280000000001
largest-contentful-paint,1733.16
speed-index,1859.070684044313
total-blocking-time,3374
cumulative-layout-shift,0
interactive,5141.16
transfer-size,142349
resource-size,142015
server-response-time,28.698999999999998
first-contentful-paint,780.4200000000001
largest-contentful-paint,1751.025
speed-index,1994.7561321012975
total-blocking-time,3200.5
cumulative-layout-shift,0
interactive,4988.525
transfer-size,142349
resource-size,142015
server-response-time,37.964
first-contentful-paint,769.06
largest-contentful-paint,1737.8249999999998
speed-index,1865.5137520985602
total-blocking-time,3267
cumulative-layout-shift,0
interactive,5040.825
transfer-size,142349
resource-size,142015
server-response-time,26.618000000000002
first-contentful-paint,750.028
largest-contentful-paint,1719.0349999999999
speed-index,1873.8242279462338
total-blocking-time,3385.5
cumulative-layout-shift,0
interactive,5135.535
transfer-size,142349
resource-size,142015
server-response-time,24.337999999999994
first-contentful-paint,756.6780000000001
largest-contentful-paint,1699.3475
speed-index,1449.7508999759675
total-blocking-time,2541.5
cumulative-layout-shift,0
interactive,4290.8475
transfer-size,142349
resource-size,142015
server-response-time,23.991
first-contentful-paint,810
largest-contentful-paint,1810
speed-index,1971.8907319557666
total-blocking-time,3639
cumulative-layout-shift,0
interactive,5464
transfer-size,142349
resource-size,142015
server-response-time,24.286999999999992
first-contentful-paint,754.988
largest-contentful-paint,1732.2350000000001
speed-index,1952.921704098654
total-blocking-time,3551
cumulative-layout-shift,0
interactive,5307.235000000001
transfer-size,142349
resource-size,142015
server-response-time,24.61
first-contentful-paint,810
largest-contentful-paint,1803
speed-index,2057.141827950239
total-blocking-time,3567
cumulative-layout-shift,0
interactive,5392
transfer-size,142349
resource-size,142015
server-response-time,38.566
first-contentful-paint,760.8019999999999
largest-contentful-paint,1729.5025
speed-index,2076.8992320218563
total-blocking-time,3127
cumulative-layout-shift,0
interactive,4890.5025
transfer-size,142349
resource-size,142015
server-response-time,27.025999999999982
first-contentful-paint,764.238
