Metric,Value
first-contentful-paint,753.654
largest-contentful-paint,1728.5675
speed-index,11510.041251735405
total-blocking-time,9959.173
cumulative-layout-shift,0
interactive,11691.567500000001
transfer-size,142349
resource-size,142015
server-response-time,27.500000000000007
first-contentful-paint,792.922
largest-contentful-paint,1781.6525000000001
speed-index,13114.798230196393
total-blocking-time,9945.539
cumulative-layout-shift,0
interactive,11742.6525
transfer-size,142349
resource-size,142015
server-response-time,28.37899999999999
first-contentful-paint,764.6619999999998
largest-contentful-paint,1735.3274999999999
speed-index,12802.977749921225
total-blocking-time,9933.5
cumulative-layout-shift,0
interactive,11701.8275
transfer-size,142349
resource-size,142015
server-response-time,26.089
first-contentful-paint,767.73
largest-contentful-paint,1744.1625
speed-index,13180.306587461968
total-blocking-time,9936
cumulative-layout-shift,0
interactive,11708.162499999999
transfer-size,142349
resource-size,142015
server-response-time,27.817000000000007
first-contentful-paint,780.404
largest-contentful-paint,1757.005
speed-index,12958.470646829308
total-blocking-time,9934.5
cumulative-layout-shift,0
interactive,11722.505000000001
transfer-size,142349
resource-size,142015
server-response-time,27.405
first-contentful-paint,787.25
largest-contentful-paint,1768.5625
speed-index,12990.507809842784
total-blocking-time,9941.375
cumulative-layout-shift,0
interactive,11732.5625
transfer-size,142349
resource-size,142015
server-response-time,27.988
first-contentful-paint,768.44
largest-contentful-paint,1748.0500000000002
speed-index,12747.774778303647
total-blocking-time,9959.28
cumulative-layout-shift,0
interactive,11710.55
transfer-size,142349
resource-size,142015
server-response-time,32.134
first-contentful-paint,808.4739999999999
largest-contentful-paint,1791.0924999999997
speed-index,13013.574893703499
total-blocking-time,9934
cumulative-layout-shift,0
interactive,11757.092499999999
transfer-size,142349
resource-size,142015
server-response-time,27.531999999999982
first-contentful-paint,751.182
largest-contentful-paint,1719.4775
speed-index,13183.331257405735
total-blocking-time,10009.409
cumulative-layout-shift,0
interactive,11685.4775
transfer-size,142349
resource-size,142015
server-response-time,34.03399999999999
first-contentful-paint,772.738
largest-contentful-paint,1756.4225000000001
speed-index,13093.215150644253
total-blocking-time,9999.631
cumulative-layout-shift,0
interactive,11717.4225
transfer-size,142349
resource-size,142015
server-response-time,31.37899999999999
first-contentful-paint,810
largest-contentful-paint,1800
speed-index,13133.714407678053
total-blocking-time,9998.5
cumulative-layout-shift,0
interactive,11762.5
transfer-size,142349
resource-size,142015
server-response-time,30.144000000000005
first-contentful-paint,761.406
largest-contentful-paint,1725.2575
speed-index,11427.367812009239
total-blocking-time,9930.5
cumulative-layout-shift,0
interactive,11694.7575
transfer-size,142349
resource-size,142015
server-response-time,27.47
first-contentful-paint,808.6020000000001
largest-contentful-paint,1792.2525
speed-index,13313.708492569865
total-blocking-time,10024.199
cumulative-layout-shift,0
interactive,11757.7525
transfer-size,142349
resource-size,142015
server-response-time,34.168000000000006
first-contentful-paint,779.24
largest-contentful-paint,1757.5500000000002
speed-index,13097.227973509556
total-blocking-time,10023.88
cumulative-layout-shift,0
interactive,11722.05
transfer-size,142349
resource-size,142015
server-response-time,30.023000000000003
first-contentful-paint,763.866
largest-contentful-paint,1742.3325
speed-index,13118.321006043197
total-blocking-time,10020.567
cumulative-layout-shift,0
interactive,11704.8325
transfer-size,142349
resource-size,142015
server-response-time,30.223000000000006
first-contentful-paint,810
largest-contentful-paint,1802
speed-index,13146.555117929242
total-blocking-time,10041.5
cumulative-layout-shift,0
interactive,11763.5
transfer-size,142349
resource-size,142015
server-response-time,29.732
first-contentful-paint,753.008
largest-contentful-paint,1715.7600000000002
speed-index,12969.49819996128
total-blocking-time,10030.496
cumulative-layout-shift,0
interactive,11684.76
transfer-size,142349
resource-size,142015
server-response-time,23.865000000000002
first-contentful-paint,764.1199999999999
