Metric,Value
first-contentful-paint,810
largest-contentful-paint,1910
speed-index,4099.518636653599
total-blocking-time,80.5
cumulative-layout-shift,0
interactive,1938.5
transfer-size,143364
resource-size,143030
server-response-time,33.978999999999814
first-contentful-paint,752.9459999999999
largest-contentful-paint,1792.4189999999999
speed-index,762.3968561114307
total-blocking-time,89.5
cumulative-layout-shift,0
interactive,1818.9189999999999
transfer-size,143364
resource-size,143030
server-response-time,30.22800000000001
first-contentful-paint,761.642
largest-contentful-paint,1771.5525000000002
speed-index,761.642
total-blocking-time,57
cumulative-layout-shift,0
interactive,1771.5525000000002
transfer-size,143364
resource-size,143030
server-response-time,23.107000000000006
first-contentful-paint,756.7559999999999
largest-contentful-paint,1804.1339999999998
speed-index,769.2712320672506
total-blocking-time,97.5
cumulative-layout-shift,0
interactive,1832.6339999999998
transfer-size,143364
resource-size,143030
server-response-time,29.47
first-contentful-paint,763.8400000000001
largest-contentful-paint,1823.7600000000002
speed-index,801.3410321099756
total-blocking-time,103
cumulative-layout-shift,0
interactive,1823.7600000000002
transfer-size,143364
resource-size,143030
server-response-time,30.09400000000001
first-contentful-paint,752.9659999999999
largest-contentful-paint,1772.4489999999998
speed-index,752.9659999999999
total-blocking-time,68
cumulative-layout-shift,0
interactive,1772.4489999999998
transfer-size,143364
resource-size,143030
server-response-time,28.84400000000001
first-contentful-paint,767.844
largest-contentful-paint,1783.766
speed-index,767.844
total-blocking-time,57
cumulative-layout-shift,0
interactive,1783.766
transfer-size,143364
resource-size,143030
server-response-time,30.953000000000003
first-contentful-paint,751.396
largest-contentful-paint,1783.094
speed-index,751.396
total-blocking-time,81
cumulative-layout-shift,0
interactive,1783.094
transfer-size,143364
resource-size,143030
server-response-time,25.156000000000006
first-contentful-paint,754.818
largest-contentful-paint,1781.2269999999999
speed-index,772.3058360213754
total-blocking-time,76.5
cumulative-layout-shift,0
interactive,1808.7269999999999
transfer-size,143364
resource-size,143030
server-response-time,28.842
first-contentful-paint,769.0819999999999
largest-contentful-paint,1797.6229999999998
speed-index,810.925636104154
total-blocking-time,69
cumulative-layout-shift,0
interactive,1797.6229999999998
transfer-size,143364
resource-size,143030
server-response-time,28.437000000000012
first-contentful-paint,758.0260000000001
largest-contentful-paint,1783.0325000000003
speed-index,758.0260000000001
total-blocking-time,73.5
cumulative-layout-shift,0
interactive,1808.5325000000003
transfer-size,143364
resource-size,143030
server-response-time,25.809999999999988
first-contentful-paint,757.7
largest-contentful-paint,1776.5500000000002
speed-index,762.8046119318003
total-blocking-time,72
cumulative-layout-shift,0
interactive,1808.5500000000002
transfer-size,143364
resource-size,143030
server-response-time,25.354
first-contentful-paint,773.7919999999999
largest-contentful-paint,1796.688
speed-index,3987.27175487987
total-blocking-time,68
cumulative-layout-shift,0
interactive,1796.688
transfer-size,143364
resource-size,143030
server-response-time,45.3159999999998
first-contentful-paint,760.2159999999999
largest-contentful-paint,1780.77
speed-index,760.2159999999999
total-blocking-time,68
cumulative-layout-shift,0
interactive,1780.77
transfer-size,143364
resource-size,143030
server-response-time,26.653999999999996
first-contentful-paint,765.0699999999999
largest-contentful-paint,1796.605
speed-index,765.0699999999999
total-blocking-time,74
cumulative-layout-shift,0
interactive,1796.605
transfer-size,143364
resource-size,143030
server-response-time,27.938999999999993
first-contentful-paint,761.558
largest-contentful-paint,1784.337
speed-index,761.558
total-blocking-time,67.5
cumulative-layout-shift,0
interactive,1809.837
transfer-size,143364
resource-size,143030
server-response-time,27.900000000000006
first-contentful-paint,760.844
largest-contentful-paint,1759.266
speed-index,760.844
total-blocking-time,43
cumulative-layout-shift,0
interactive,1759.266
transfer-size,143364
resource-size,143030
server-response-time,27.424999999999997
first-contentful-paint,772.0699999999999
largest-contentful-paint,1825.105
speed-index,807.6621321179864
total-blocking-time,92
cumulative-layout-shift,0
interactive,1825.105
transfer-size,143364
resource-size,143030
server-response-time,29.257000000000005
first-contentful-paint,764.194
largest-contentful-paint,1890.291
speed-index,795.3738359576222
total-blocking-time,169
cumulative-layout-shift,0
interactive,1890.291
transfer-size,143364
resource-size,143030
server-response-time,32.413
first-contentful-paint,902.1179999999999
largest-contentful-paint,1954.1475
speed-index,1202.4291321219916
total-blocking-time,64
cumulative-layout-shift,0
interactive,1954.1475
transfer-size,143364
resource-size,143030
server-response-time,35.855000000000004
first-contentful-paint,765.962
largest-contentful-paint,1790.943
speed-index,767.2322080524441
total-blocking-time,67
cumulative-layout-shift,0
interactive,1790.943
transfer-size,143364
resource-size,143030
server-response-time,25.277
first-contentful-paint,774.886
largest-contentful-paint,1805.329
speed-index,1065.414912104034
total-blocking-time,68
cumulative-layout-shift,0
interactive,1805.329
transfer-size,143364
resource-size,143030
server-response-time,24.841000000000008
first-contentful-paint,763.97
largest-contentful-paint,1777.955
speed-index,1026.21793192172
total-blocking-time,57
cumulative-layout-shift,0
interactive,1777.955
transfer-size,143364
resource-size,143030
server-response-time,47.989000000000004
first-contentful-paint,762.2300000000005
largest-contentful-paint,1781.3450000000007
speed-index,3809.356205558601
total-blocking-time,107
cumulative-layout-shift,0
interactive,1869.3450000000007
transfer-size,143364
resource-size,143030
server-response-time,31.623999999999796
first-contentful-paint,773.1099999999999
largest-contentful-paint,1799.665
speed-index,773.1099999999999
total-blocking-time,65
cumulative-layout-shift,0
interactive,1799.665
transfer-size,143364
resource-size,143030
server-response-time,32.013000000000005
first-contentful-paint,766.886
largest-contentful-paint,1812.329
speed-index,774.0063599280354
total-blocking-time,88.5
cumulative-layout-shift,0
interactive,1838.829
transfer-size,143364
resource-size,143030
server-response-time,31.881
first-contentful-paint,831.662
largest-contentful-paint,1948.493
speed-index,1093.342931929397
total-blocking-time,126
cumulative-layout-shift,0
interactive,1948.493
transfer-size,143364
resource-size,143030
server-response-time,27.284000000000006
first-contentful-paint,762.586
largest-contentful-paint,1775.879
speed-index,762.586
total-blocking-time,57
cumulative-layout-shift,0
interactive,1775.879
transfer-size,143364
resource-size,143030
server-response-time,28.479
first-contentful-paint,810
largest-contentful-paint,1852
speed-index,810
total-blocking-time,62
cumulative-layout-shift,0
interactive,1852
transfer-size,143364
resource-size,143030
server-response-time,24.60600000000001
first-contentful-paint,771.192
largest-contentful-paint,1788.788
speed-index,795.6291839895722
total-blocking-time,57
cumulative-layout-shift,0
interactive,1788.788
transfer-size,143364
resource-size,143030
server-response-time,25.22200000000001
first-contentful-paint,758.6759999999999
largest-contentful-paint,1775.8449999999998
speed-index,765.6272120479578
total-blocking-time,65
cumulative-layout-shift,0
interactive,1775.8449999999998
transfer-size,143364
resource-size,143030
server-response-time,33.45099999999999
first-contentful-paint,761.366
largest-contentful-paint,1776.049
speed-index,761.366
total-blocking-time,59
cumulative-layout-shift,0
interactive,1776.049
transfer-size,143364
resource-size,143030
server-response-time,25.825000000000003
first-contentful-paint,757.6859999999999
largest-contentful-paint,1765.529
speed-index,757.6859999999999
total-blocking-time,54
cumulative-layout-shift,0
interactive,1765.529
transfer-size,143364
resource-size,143030
server-response-time,27.223999999999997
first-contentful-paint,764.654
largest-contentful-paint,1766.981
speed-index,764.654
total-blocking-time,45
cumulative-layout-shift,0
interactive,1766.981
transfer-size,143364
resource-size,143030
server-response-time,31.738000000000007
first-contentful-paint,759.7099999999996
largest-contentful-paint,1779.5649999999996
speed-index,3774.1472463527125
total-blocking-time,64.99999999999989
cumulative-layout-shift,0
interactive,1779.5649999999996
transfer-size,143364
resource-size,143030
server-response-time,30.63799999999992
first-contentful-paint,753.694
largest-contentful-paint,1755.6174999999998
speed-index,753.694
total-blocking-time,51
cumulative-layout-shift,0
interactive,1755.6174999999998
transfer-size,143364
resource-size,143030
server-response-time,23.846999999999994
first-contentful-paint,770.512
largest-contentful-paint,1804.768
speed-index,770.512
total-blocking-time,74
cumulative-layout-shift,0
interactive,1804.768
transfer-size,143364
resource-size,143030
server-response-time,31.13900000000001
first-contentful-paint,763.49
largest-contentful-paint,1781.2350000000001
speed-index,763.49
total-blocking-time,61
cumulative-layout-shift,0
interactive,1781.2350000000001
transfer-size,143364
resource-size,143030
server-response-time,27.41700000000001
first-contentful-paint,761.7059999999999
largest-contentful-paint,1785.559
speed-index,761.7059999999999
total-blocking-time,69
cumulative-layout-shift,0
interactive,1811.559
transfer-size,143364
resource-size,143030
server-response-time,26.107
