Metric,Value
first-contentful-paint,3685.9480000000003
largest-contentful-paint,3685.9480000000003
speed-index,3685.9480000000003
total-blocking-time,5.5
cumulative-layout-shift,0
interactive,4113.448
transfer-size,143362
resource-size,143028
server-response-time,41.714
first-contentful-paint,3695.852
largest-contentful-paint,4780.852
speed-index,3695.852
total-blocking-time,227.78700000000003
cumulative-layout-shift,0
interactive,4814.852
transfer-size,143362
resource-size,143028
server-response-time,40.795
first-contentful-paint,3700.4824999999996
largest-contentful-paint,4664.3099999999995
speed-index,3700.4824999999996
total-blocking-time,109.5
cumulative-layout-shift,0
interactive,4689.8099999999995
transfer-size,143362
resource-size,143028
server-response-time,39.437000000000005
first-contentful-paint,3837.5825000000004
largest-contentful-paint,4815.110000000001
speed-index,3837.5825000000004
total-blocking-time,177.5
cumulative-layout-shift,0
interactive,4850.610000000001
transfer-size,143362
resource-size,143028
server-response-time,48.611
first-contentful-paint,3868.3815000000004
largest-contentful-paint,4892.842000000001
speed-index,3868.3815000000004
total-blocking-time,185
cumulative-layout-shift,0
interactive,4927.342000000001
transfer-size,143362
resource-size,143028
server-response-time,57.684
first-contentful-paint,3691.4375
largest-contentful-paint,3691.4375
speed-index,3691.4375
total-blocking-time,108.6875
cumulative-layout-shift,0
interactive,4236.9375
transfer-size,143362
resource-size,143028
server-response-time,51.333999999999975
first-contentful-paint,3755.2160000000003
largest-contentful-paint,3755.2160000000003
speed-index,3755.2160000000003
total-blocking-time,157
cumulative-layout-shift,0
interactive,4809.716
transfer-size,143362
resource-size,143028
server-response-time,39.287
first-contentful-paint,3889.1394999999998
largest-contentful-paint,4960.186
speed-index,3889.1394999999998
total-blocking-time,172
cumulative-layout-shift,0
interactive,4992.686
transfer-size,143362
resource-size,143028
server-response-time,104.42099999999999
first-contentful-paint,3696.3599999999997
largest-contentful-paint,3696.3599999999997
speed-index,3696.3599999999997
total-blocking-time,52
cumulative-layout-shift,0
interactive,4623.36
transfer-size,143362
resource-size,143028
server-response-time,33.19599999999999
first-contentful-paint,3782.3805
largest-contentful-paint,4781.174
speed-index,3782.3805
total-blocking-time,190
cumulative-layout-shift,0
interactive,4816.674
transfer-size,143362
resource-size,143028
server-response-time,43.97999999999999
first-contentful-paint,3687.772
largest-contentful-paint,3687.772
speed-index,3687.772
total-blocking-time,245.30700000000002
cumulative-layout-shift,0
interactive,4817.772
transfer-size,143362
resource-size,143028
server-response-time,41.422
first-contentful-paint,3822.274
largest-contentful-paint,3822.274
speed-index,3822.274
total-blocking-time,175.5
cumulative-layout-shift,0
interactive,4897.773999999999
transfer-size,143362
resource-size,143028
server-response-time,38.311
first-contentful-paint,3710.0879999999997
largest-contentful-paint,3710.0879999999997
speed-index,3710.0879999999997
total-blocking-time,163.3040000000001
cumulative-layout-shift,0
interactive,4282.588
transfer-size,143362
resource-size,143028
server-response-time,55.02000000000001
first-contentful-paint,3788.7625000000003
largest-contentful-paint,3794.175
speed-index,3788.7625000000003
total-blocking-time,125.5
cumulative-layout-shift,0
interactive,4750.85
transfer-size,143362
resource-size,143028
server-response-time,36.755
first-contentful-paint,3856.866
largest-contentful-paint,4694.732
speed-index,3856.866
total-blocking-time,68
cumulative-layout-shift,0
interactive,4729.732
transfer-size,143362
resource-size,143028
server-response-time,44.622
first-contentful-paint,4008.8540000000003
largest-contentful-paint,4721.7080000000005
speed-index,4008.8540000000003
total-blocking-time,52.5
cumulative-layout-shift,0
interactive,4786.7080000000005
transfer-size,143362
resource-size,143028
server-response-time,44.971000000000004
first-contentful-paint,3681.228
largest-contentful-paint,3681.228
speed-index,3681.228
total-blocking-time,211.38599999999997
cumulative-layout-shift,0
interactive,4732.728
transfer-size,143362
resource-size,143028
server-response-time,37.617000000000004
first-contentful-paint,3754.3605000000002
largest-contentful-paint,4778.814
speed-index,3754.3605000000002
total-blocking-time,284.5464999999999
cumulative-layout-shift,0
interactive,4886.814
transfer-size,143362
resource-size,143028
server-response-time,37.565000000000005
first-contentful-paint,3722.934
largest-contentful-paint,3722.934
speed-index,3722.934
total-blocking-time,244.51649999999995
cumulative-layout-shift,0
interactive,4831.934
transfer-size,143362
resource-size,143028
server-response-time,73.30200000000002
first-contentful-paint,3746.388
largest-contentful-paint,3813.092
speed-index,3746.388
total-blocking-time,169.70399999999995
cumulative-layout-shift,0
interactive,4324.388
transfer-size,143362
resource-size,143028
server-response-time,60.60499999999999
first-contentful-paint,3717.1904999999997
largest-contentful-paint,3803.127
speed-index,3717.1904999999997
total-blocking-time,228.43650000000002
cumulative-layout-shift,0
interactive,4648.754
transfer-size,143362
resource-size,143028
server-response-time,46.033
first-contentful-paint,3712.9984999999997
largest-contentful-paint,3796.999
speed-index,3712.9984999999997
total-blocking-time,189.5005000000001
cumulative-layout-shift,0
interactive,4293.4985
transfer-size,143362
resource-size,143028
server-response-time,41.074000000000005
first-contentful-paint,3856.7039999999997
largest-contentful-paint,3856.7039999999997
speed-index,3856.7039999999997
total-blocking-time,150.5
cumulative-layout-shift,0
interactive,4905.204
transfer-size,143362
resource-size,143028
server-response-time,51.089
first-contentful-paint,3728.2790000000005
largest-contentful-paint,3728.2790000000005
speed-index,3728.2790000000005
total-blocking-time,243.5
cumulative-layout-shift,0
interactive,4853.372
transfer-size,143362
resource-size,143028
server-response-time,90.749
first-contentful-paint,3702.0445
largest-contentful-paint,4776.726000000001
speed-index,3702.0445
total-blocking-time,231.5
cumulative-layout-shift,0
interactive,4811.726000000001
transfer-size,143362
resource-size,143028
server-response-time,39.322
first-contentful-paint,3680.9179999999997
largest-contentful-paint,3680.9179999999997
speed-index,3680.9179999999997
total-blocking-time,257.0205000000001
cumulative-layout-shift,0
interactive,4756.918
transfer-size,143362
resource-size,143028
server-response-time,31.72
first-contentful-paint,3709.0575
largest-contentful-paint,4848.41
