Metric,Value
first-contentful-paint,761.614
largest-contentful-paint,1722.5175
speed-index,761.614
total-blocking-time,269.0000000000001
cumulative-layout-shift,0
interactive,2033.5175000000002
transfer-size,142349
resource-size,142015
server-response-time,32.304
first-contentful-paint,770.866
largest-contentful-paint,1747.0825
speed-index,1022.6112440911766
total-blocking-time,312.5
cumulative-layout-shift,0
interactive,2088.5825
transfer-size,142349
resource-size,142015
server-response-time,30.851
first-contentful-paint,755.23
largest-contentful-paint,1699.5375
speed-index,755.23
total-blocking-time,237.5
cumulative-layout-shift,0
interactive,1987.0375
transfer-size,142349
resource-size,142015
server-response-time,23.969
first-contentful-paint,778.646
largest-contentful-paint,1760.8075
speed-index,984.4040439282887
total-blocking-time,308.4999999999999
cumulative-layout-shift,0
interactive,2094.3075
transfer-size,142349
resource-size,142015
server-response-time,30.430000000000007
first-contentful-paint,761.0319999999999
largest-contentful-paint,1709.79
speed-index,761.0319999999999
total-blocking-time,254
cumulative-layout-shift,0
interactive,2013.79
transfer-size,142349
resource-size,142015
server-response-time,26.664999999999992
first-contentful-paint,759.252
largest-contentful-paint,1731.565
speed-index,982.0244679427617
total-blocking-time,340.9999999999999
cumulative-layout-shift,0
interactive,2102.5649999999996
transfer-size,142349
resource-size,142015
server-response-time,45.545000000000016
first-contentful-paint,757.4359999999999
largest-contentful-paint,1712.295
speed-index,757.4359999999999
total-blocking-time,249.5
cumulative-layout-shift,0
interactive,2008.795
transfer-size,142349
resource-size,142015
server-response-time,25.230999999999995
first-contentful-paint,779.884
largest-contentful-paint,1757.355
speed-index,992.5715400155545
total-blocking-time,342
cumulative-layout-shift,0
interactive,2129.355
transfer-size,142349
resource-size,142015
server-response-time,24.173000000000002
first-contentful-paint,753.402
largest-contentful-paint,1698.2525
speed-index,753.402
total-blocking-time,253
cumulative-layout-shift,0
interactive,2001.2525
transfer-size,142349
resource-size,142015
server-response-time,28.760999999999996
first-contentful-paint,758.7059999999999
largest-contentful-paint,1743.8825
speed-index,758.7059999999999
total-blocking-time,395.0000000000002
cumulative-layout-shift,0
interactive,2155.8825
transfer-size,142349
resource-size,142015
server-response-time,24.967999999999996
first-contentful-paint,758.0920000000001
largest-contentful-paint,1731.1150000000002
speed-index,792.4631920500276
total-blocking-time,350.4999999999999
cumulative-layout-shift,0
interactive,2110.615
transfer-size,142349
resource-size,142015
server-response-time,24.446000000000005
first-contentful-paint,774.5060000000001
largest-contentful-paint,1754.6325000000002
speed-index,840.1935399648187
total-blocking-time,318.0000000000001
cumulative-layout-shift,0
interactive,2098.6325
transfer-size,142349
resource-size,142015
server-response-time,25.94100000000001
first-contentful-paint,759.6600000000001
largest-contentful-paint,1732.075
speed-index,762.9660320699211
total-blocking-time,304.9999999999999
cumulative-layout-shift,0
interactive,2067.075
transfer-size,142349
resource-size,142015
server-response-time,29.197000000000003
first-contentful-paint,762.568
largest-contentful-paint,1716.71
speed-index,762.568
total-blocking-time,268.5
cumulative-layout-shift,0
interactive,2034.21
transfer-size,142349
resource-size,142015
server-response-time,33.123
first-contentful-paint,762.1500000000001
largest-contentful-paint,1741.1875
speed-index,769.1434920380113
total-blocking-time,317.0000000000001
cumulative-layout-shift,0
interactive,2082.1875
transfer-size,142349
resource-size,142015
server-response-time,24.509
first-contentful-paint,754.9159999999999
largest-contentful-paint,1708.145
speed-index,754.9159999999999
total-blocking-time,259
cumulative-layout-shift,0
interactive,2015.145
transfer-size,142349
resource-size,142015
server-response-time,23.642000000000003
first-contentful-paint,753.828
largest-contentful-paint,1710.7849999999999
speed-index,753.828
total-blocking-time,268.0000000000001
cumulative-layout-shift,0
interactive,2022.785
transfer-size,142349
resource-size,142015
server-response-time,31.326000000000008
first-contentful-paint,755.72
largest-contentful-paint,1698.15
speed-index,755.72
total-blocking-time,238.5
cumulative-layout-shift,0
interactive,1986.65
transfer-size,142349
resource-size,142015
server-response-time,24.107999999999997
first-contentful-paint,810
largest-contentful-paint,1807
speed-index,862.8231919739244
total-blocking-time,361
cumulative-layout-shift,0
interactive,2186
transfer-size,142349
resource-size,142015
server-response-time,31.049999999999997
first-contentful-paint,776.4300000000001
largest-contentful-paint,1761.0375
speed-index,866.7486361215113
total-blocking-time,428.0000000000001
cumulative-layout-shift,0
interactive,2211.0375000000004
transfer-size,142349
resource-size,142015
server-response-time,31.010999999999996
first-contentful-paint,762.932
largest-contentful-paint,1728.165
speed-index,813.15956406908
total-blocking-time,312
cumulative-layout-shift,0
interactive,2078.165
transfer-size,142349
resource-size,142015
server-response-time,32.652
first-contentful-paint,764.2439999999999
largest-contentful-paint,1728.8049999999998
speed-index,823.7134400092118
total-blocking-time,297.5
cumulative-layout-shift,0
interactive,2065.305
transfer-size,142349
resource-size,142015
server-response-time,32.94099999999999
first-contentful-paint,762.922
largest-contentful-paint,1744.1525000000001
speed-index,789.0138160174365
total-blocking-time,318.9999999999999
cumulative-layout-shift,0
interactive,2085.1525
transfer-size,142349
resource-size,142015
server-response-time,32.424
first-contentful-paint,758.3979999999999
largest-contentful-paint,1731.4975
speed-index,793.3531319150443
total-blocking-time,280.4999999999999
cumulative-layout-shift,0
interactive,2040.9975
transfer-size,142349
resource-size,142015
server-response-time,26.977999999999994
first-contentful-paint,759.6400000000001
largest-contentful-paint,1717.0500000000002
speed-index,762.1182400512691
total-blocking-time,281.5
cumulative-layout-shift,0
interactive,2043.5500000000002
transfer-size,142349
resource-size,142015
server-response-time,34.007999999999996
first-contentful-paint,759.2919999999999
largest-contentful-paint,1737.6149999999998
speed-index,806.9915560353274
total-blocking-time,319.0000000000001
cumulative-layout-shift,0
interactive,2080.615
transfer-size,142349
resource-size,142015
server-response-time,31.03099999999999
first-contentful-paint,754.694
largest-contentful-paint,1708.8674999999998
speed-index,754.694
total-blocking-time,240.5
cumulative-layout-shift,0
interactive,1996.3674999999998
transfer-size,142349
resource-size,142015
server-response-time,25.803000000000004
first-contentful-paint,756.7139999999999
largest-contentful-paint,1730.3925
speed-index,850.4967119718549
total-blocking-time,289
cumulative-layout-shift,0
interactive,2047.3925
transfer-size,142349
resource-size,142015
server-response-time,33.507000000000005
first-contentful-paint,764.8620000000001
largest-contentful-paint,1740.5775
speed-index,803.5841120613095
total-blocking-time,402
cumulative-layout-shift,0
interactive,2170.5775000000003
transfer-size,142349
resource-size,142015
server-response-time,32.227999999999994
first-contentful-paint,767.114
largest-contentful-paint,1741.3925
speed-index,776.4529121280666
total-blocking-time,353.0000000000001
cumulative-layout-shift,0
interactive,2124.3925
transfer-size,142349
resource-size,142015
server-response-time,31.564999999999998
first-contentful-paint,761.9659999999999
largest-contentful-paint,1736.9575
speed-index,797.2529320098395
total-blocking-time,338.9999999999999
cumulative-layout-shift,0
interactive,2103.9574999999995
transfer-size,142349
resource-size,142015
server-response-time,28.973
first-contentful-paint,770.0160000000001
largest-contentful-paint,1746.02
speed-index,771.4386121000288
total-blocking-time,344.5000000000001
cumulative-layout-shift,0
interactive,2119.5200000000004
transfer-size,142349
resource-size,142015
server-response-time,36.605999999999995
first-contentful-paint,768.932
largest-contentful-paint,1740.665
speed-index,830.0170119731899
total-blocking-time,319.4999999999999
cumulative-layout-shift,0
interactive,2093.165
transfer-size,142349
resource-size,142015
server-response-time,32.81
first-contentful-paint,769.982
largest-contentful-paint,1738.9775
speed-index,769.982
total-blocking-time,318
cumulative-layout-shift,0
interactive,2092.9775
transfer-size,142349
resource-size,142015
server-response-time,25.873000000000005
first-contentful-paint,753.9960000000001
largest-contentful-paint,1709.9950000000001
speed-index,753.9960000000001
total-blocking-time,242.5
cumulative-layout-shift,0
interactive,1997.4950000000001
transfer-size,142349
resource-size,142015
server-response-time,23.768
first-contentful-paint,755.25
largest-contentful-paint,1656.5625
speed-index,755.25
total-blocking-time,227
cumulative-layout-shift,0
interactive,1933.5625
transfer-size,142349
resource-size,142015
server-response-time,24.915999999999997
first-contentful-paint,755.2339999999999
largest-contentful-paint,1740.8509999999999
speed-index,868.1864919966217
total-blocking-time,377.9999999999998
cumulative-layout-shift,0
interactive,2135.8509999999997
transfer-size,142349
resource-size,142015
server-response-time,26.982
first-contentful-paint,771.316
largest-contentful-paint,1759.645
speed-index,878.013544048452
total-blocking-time,382.9999999999999
cumulative-layout-shift,0
interactive,2159.645
transfer-size,142349
resource-size,142015
server-response-time,34.894999999999996
first-contentful-paint,765.2819999999999
largest-contentful-paint,1746.1025
speed-index,835.7314160821909
total-blocking-time,349.5000000000001
cumulative-layout-shift,0
interactive,2118.6025
transfer-size,142349
resource-size,142015
server-response-time,23.604000000000006
first-contentful-paint,772.5519999999999
largest-contentful-paint,1732.19
speed-index,800.6026679938311
total-blocking-time,347.9999999999999
cumulative-layout-shift,0
interactive,2126.1899999999996
transfer-size,142349
resource-size,142015
server-response-time,25.147999999999996
first-contentful-paint,768.6379999999999
largest-contentful-paint,1751.2975
speed-index,882.3133680512424
total-blocking-time,333
cumulative-layout-shift,0
interactive,2106.2974999999997
transfer-size,142349
resource-size,142015
server-response-time,34.976
first-contentful-paint,769.2
largest-contentful-paint,1759
speed-index,822.0698121414182
total-blocking-time,405.9999999999999
cumulative-layout-shift,0
interactive,2180
transfer-size,142349
resource-size,142015
server-response-time,40.084
first-contentful-paint,760.818
largest-contentful-paint,1740.5225
speed-index,887.8400160581583
total-blocking-time,338.5000000000001
cumulative-layout-shift,0
interactive,2102.0225
transfer-size,142349
resource-size,142015
server-response-time,26.704000000000008
first-contentful-paint,761.162
largest-contentful-paint,1705.9524999999999
speed-index,761.162
total-blocking-time,208
cumulative-layout-shift,0
interactive,1963.9524999999999
transfer-size,142349
resource-size,142015
server-response-time,49.888
first-contentful-paint,753.856
largest-contentful-paint,1716.8200000000002
speed-index,871.6214399818416
total-blocking-time,322
cumulative-layout-shift,0
interactive,2076.82
transfer-size,142349
resource-size,142015
server-response-time,27.596999999999994
first-contentful-paint,755.8820000000001
largest-contentful-paint,1723.3525
speed-index,770.0336358771797
total-blocking-time,278.0000000000001
cumulative-layout-shift,0
interactive,2035.3525000000002
transfer-size,142349
resource-size,142015
server-response-time,28.366999999999997
first-contentful-paint,760.1179999999999
largest-contentful-paint,1746.177
speed-index,970.2864920153136
total-blocking-time,397.9999999999998
cumulative-layout-shift,0
interactive,2163.1769999999997
transfer-size,142349
resource-size,142015
server-response-time,88.094
first-contentful-paint,804.0619999999999
largest-contentful-paint,1791.5774999999999
speed-index,900.4907399688238
total-blocking-time,317
cumulative-layout-shift,0
interactive,2134.5775
transfer-size,142349
resource-size,142015
server-response-time,37.663
first-contentful-paint,753.78
largest-contentful-paint,1704.725
speed-index,753.78
total-blocking-time,260
cumulative-layout-shift,0
interactive,2014.725
transfer-size,142349
resource-size,142015
server-response-time,24.959000000000003
first-contentful-paint,760.7159999999999
largest-contentful-paint,1727.395
speed-index,905.0907640754217
total-blocking-time,314.9999999999999
cumulative-layout-shift,0
interactive,2078.3949999999995
transfer-size,142349
resource-size,142015
server-response-time,26.76899999999999
first-contentful-paint,785.424
largest-contentful-paint,1768.28
speed-index,926.7766119972225
total-blocking-time,321
cumulative-layout-shift,0
interactive,2115.2799999999997
transfer-size,142349
resource-size,142015
server-response-time,26.198
first-contentful-paint,810
largest-contentful-paint,1794
speed-index,1002.4736680512423
total-blocking-time,327.5
cumulative-layout-shift,0
interactive,2152.5
transfer-size,142349
resource-size,142015
server-response-time,65.66600000000001
first-contentful-paint,753.886
largest-contentful-paint,1694.8575
speed-index,753.886
total-blocking-time,228
cumulative-layout-shift,0
interactive,1972.8575
transfer-size,142349
resource-size,142015
server-response-time,23.897999999999996
first-contentful-paint,754.906
largest-contentful-paint,1732.359
speed-index,755.351188081884
total-blocking-time,324.5
cumulative-layout-shift,0
interactive,2081.859
transfer-size,142349
resource-size,142015
server-response-time,23.147
first-contentful-paint,810
largest-contentful-paint,1806
speed-index,871.3421360263819
total-blocking-time,377
cumulative-layout-shift,0
interactive,2202
transfer-size,142349
resource-size,142015
server-response-time,24.58
first-contentful-paint,810
largest-contentful-paint,1791
speed-index,819.6368880631919
total-blocking-time,325
cumulative-layout-shift,0
interactive,2150
transfer-size,142349
resource-size,142015
server-response-time,28.334000000000003
first-contentful-paint,761.604
largest-contentful-paint,1725.505
speed-index,761.604
total-blocking-time,265.5
cumulative-layout-shift,0
interactive,2030.005
transfer-size,142349
resource-size,142015
server-response-time,31.970000000000006
first-contentful-paint,763.1959999999999
largest-contentful-paint,1741.495
speed-index,775.8050881322856
total-blocking-time,322.5
cumulative-layout-shift,0
interactive,2088.995
transfer-size,142349
resource-size,142015
server-response-time,26.662999999999997
first-contentful-paint,758.7080000000001
