Metric,Value
first-contentful-paint,29548.377999999997
largest-contentful-paint,29548.377999999997
speed-index,29548.377999999997
total-blocking-time,3710.6555000000008
cumulative-layout-shift,0
interactive,34248.689
transfer-size,143362
resource-size,143028
server-response-time,209.31699999999998
first-contentful-paint,30038.966
largest-contentful-paint,30038.966
speed-index,30038.966
total-blocking-time,4443.517
cumulative-layout-shift,0
interactive,35118.483
transfer-size,143362
resource-size,143028
server-response-time,332.876
first-contentful-paint,29552.091500000002
largest-contentful-paint,29923.561
speed-index,29552.091500000002
total-blocking-time,4511.469499999999
cumulative-layout-shift,0
interactive,34513.561
transfer-size,143362
resource-size,143028
server-response-time,135.05100000000002
first-contentful-paint,29533.769999999997
largest-contentful-paint,29533.769999999997
speed-index,29533.769999999997
total-blocking-time,3427.4999999999964
cumulative-layout-shift,0
interactive,34404.384999999995
transfer-size,143362
resource-size,143028
server-response-time,492.11600000000004
first-contentful-paint,30316.413999999997
largest-contentful-paint,30316.413999999997
speed-index,30316.413999999997
total-blocking-time,4243.146499999997
cumulative-layout-shift,0
interactive,35323.206999999995
transfer-size,143362
resource-size,143028
server-response-time,201.997
first-contentful-paint,29714.696
largest-contentful-paint,29714.696
speed-index,29714.696
total-blocking-time,4135.075999999999
cumulative-layout-shift,0
interactive,34441.348
transfer-size,143362
resource-size,143028
server-response-time,473.47499999999997
first-contentful-paint,29659.644
largest-contentful-paint,29659.644
speed-index,29659.644
total-blocking-time,4503.678
cumulative-layout-shift,0
interactive,34713.322
transfer-size,143362
resource-size,143028
server-response-time,287.194
first-contentful-paint,29996.764000000003
largest-contentful-paint,29996.764000000003
speed-index,29996.764000000003
total-blocking-time,4431.617999999995
cumulative-layout-shift,0
interactive,34778.382
transfer-size,143362
resource-size,143028
server-response-time,138.853
first-contentful-paint,29541.534
largest-contentful-paint,29541.534
speed-index,29541.534
total-blocking-time,3259.322
cumulative-layout-shift,0
interactive,33609.856
transfer-size,143362
resource-size,143028
server-response-time,379.422
first-contentful-paint,29676.662
largest-contentful-paint,29676.662
speed-index,29676.662
total-blocking-time,4100.999999999996
cumulative-layout-shift,0
interactive,34277.662
transfer-size,143362
resource-size,143028
server-response-time,122.58100000000002
first-contentful-paint,29747.347999999998
largest-contentful-paint,29747.347999999998
speed-index,29747.347999999998
total-blocking-time,4198.326000000001
cumulative-layout-shift,0
interactive,34445.674
transfer-size,143362
resource-size,143028
server-response-time,119.80000000000001
first-contentful-paint,29544.906000000003
largest-contentful-paint,29544.906000000003
speed-index,29544.906000000003
total-blocking-time,3902.0234999999993
cumulative-layout-shift,0
interactive,34883.953
transfer-size,143362
resource-size,143028
server-response-time,339.615
first-contentful-paint,29825.758
largest-contentful-paint,29825.758
speed-index,29825.758
total-blocking-time,3763
cumulative-layout-shift,0
interactive,34845.879
transfer-size,143362
resource-size,143028
server-response-time,293.59
first-contentful-paint,29638.493
largest-contentful-paint,29638.493
speed-index,29638.493
total-blocking-time,3956.0000000000036
cumulative-layout-shift,0
interactive,34034.493
transfer-size,143362
resource-size,143028
server-response-time,144.174
first-contentful-paint,29738.784
largest-contentful-paint,29738.784
speed-index,29738.784
total-blocking-time,4155.054
cumulative-layout-shift,0
interactive,34478.392
transfer-size,143362
resource-size,143028
server-response-time,190.769
first-contentful-paint,29573.575999999997
largest-contentful-paint,29889.384
speed-index,29573.575999999997
total-blocking-time,4224.308000000001
cumulative-layout-shift,0
interactive,34197.884
transfer-size,143362
resource-size,143028
server-response-time,119.943
first-contentful-paint,29501.267999999996
largest-contentful-paint,29501.267999999996
speed-index,29501.267999999996
total-blocking-time,4232.433000000001
cumulative-layout-shift,0
interactive,34280.634
transfer-size,143362
resource-size,143028
server-response-time,222.59199999999998
first-contentful-paint,29499.328
largest-contentful-paint,29598.746
speed-index,29499.328
total-blocking-time,4288.336000000003
cumulative-layout-shift,0
interactive,34137.664000000004
transfer-size,143362
resource-size,143028
server-response-time,103.22
first-contentful-paint,29512.608
largest-contentful-paint,29512.608
speed-index,29512.608
total-blocking-time,4436.598000000004
cumulative-layout-shift,0
interactive,34586.304000000004
transfer-size,143362
resource-size,143028
server-response-time,213.683
first-contentful-paint,29600.438000000002
largest-contentful-paint,29600.438000000002
speed-index,29600.438000000002
total-blocking-time,4242.353999999999
cumulative-layout-shift,0
interactive,34302.792
transfer-size,143362
resource-size,143028
server-response-time,121.46499999999999
first-contentful-paint,29521.5685
largest-contentful-paint,29800.379
speed-index,29521.5685
total-blocking-time,4060.3104999999996
cumulative-layout-shift,0
interactive,34161.879
transfer-size,143362
resource-size,143028
server-response-time,117.026
first-contentful-paint,29535.182500000003
largest-contentful-paint,29594.955
speed-index,29535.182500000003
total-blocking-time,4197.772499999999
cumulative-layout-shift,0
interactive,34232.955
transfer-size,143362
resource-size,143028
server-response-time,267.507
first-contentful-paint,29612.7865
largest-contentful-paint,29830.191
speed-index,29612.7865
total-blocking-time,4098.904500000001
cumulative-layout-shift,0
interactive,34161.691
transfer-size,143362
resource-size,143028
server-response-time,137.255
first-contentful-paint,29614.212
largest-contentful-paint,29614.212
speed-index,29614.212
total-blocking-time,3231
cumulative-layout-shift,0
interactive,34290.106
transfer-size,143362
resource-size,143028
server-response-time,402.447
first-contentful-paint,29588.245499999997
largest-contentful-paint,29985.997
speed-index,29588.245499999997
total-blocking-time,4475.251500000004
cumulative-layout-shift,0
interactive,34513.497
transfer-size,143362
resource-size,143028
server-response-time,109.60300000000001
first-contentful-paint,30220.038
largest-contentful-paint,30550.538
speed-index,30220.038
total-blocking-time,3726.5
cumulative-layout-shift,0
interactive,34346.538
transfer-size,143362
resource-size,143028
server-response-time,132.048
first-contentful-paint,29489.311999999998
largest-contentful-paint,29495.233999999997
speed-index,29489.311999999998
total-blocking-time,4353.922000000004
cumulative-layout-shift,0
interactive,34364.156
transfer-size,143362
resource-size,143028
server-response-time,124.38400000000001
first-contentful-paint,29589.0905
largest-contentful-paint,29589.0905
speed-index,29589.0905
total-blocking-time,4451.1365000000005
cumulative-layout-shift,0
interactive,34553.227
transfer-size,143362
resource-size,143028
server-response-time,119.62599999999999
first-contentful-paint,29587.888
largest-contentful-paint,29587.888
speed-index,29587.888
total-blocking-time,4334.204000000003
cumulative-layout-shift,0
interactive,34372.092000000004
transfer-size,143362
resource-size,143028
server-response-time,227.40200000000002
first-contentful-paint,29682.252
largest-contentful-paint,29831.439
speed-index,29682.252
total-blocking-time,4013.8740000000034
cumulative-layout-shift,0
interactive,34196.126000000004
transfer-size,143362
resource-size,143028
server-response-time,116.537
first-contentful-paint,29483.839999999997
largest-contentful-paint,29483.839999999997
speed-index,29483.839999999997
total-blocking-time,4180.080000000002
cumulative-layout-shift,0
interactive,34138.92
transfer-size,143362
resource-size,143028
server-response-time,211.63899999999998
first-contentful-paint,29509.7215
largest-contentful-paint,29606.981
speed-index,29509.7215
total-blocking-time,4150.7595
cumulative-layout-shift,0
interactive,34081.481
transfer-size,143362
resource-size,143028
server-response-time,107.12299999999999
first-contentful-paint,29477.67
largest-contentful-paint,29477.67
speed-index,29477.67
total-blocking-time,4612.3325
cumulative-layout-shift,0
interactive,34420.835
transfer-size,143362
resource-size,143028
server-response-time,146.63
first-contentful-paint,29828.953999999998
largest-contentful-paint,29828.953999999998
speed-index,29828.953999999998
total-blocking-time,4126.523000000001
cumulative-layout-shift,0
interactive,34380.477
transfer-size,143362
resource-size,143028
server-response-time,114.56800000000001
first-contentful-paint,29497.368000000002
largest-contentful-paint,29497.368000000002
speed-index,29497.368000000002
total-blocking-time,2427.815999999999
cumulative-layout-shift,0
interactive,32300.184
transfer-size,143362
resource-size,143028
server-response-time,122.60600000000002
first-contentful-paint,29508.6575
largest-contentful-paint,29825.605
speed-index,29508.6575
total-blocking-time,4396.947499999997
cumulative-layout-shift,0
interactive,34255.604999999996
transfer-size,143362
resource-size,143028
server-response-time,124.739
first-contentful-paint,31116.299
largest-contentful-paint,31137.299
speed-index,31116.299
total-blocking-time,2764.5
cumulative-layout-shift,0
interactive,34272.799
transfer-size,143362
resource-size,143028
server-response-time,128.23399999999998
first-contentful-paint,29575.878500000003
largest-contentful-paint,29575.878500000003
speed-index,29575.878500000003
total-blocking-time,4355.540499999999
cumulative-layout-shift,0
interactive,34331.419
transfer-size,143362
resource-size,143028
server-response-time,122.221
first-contentful-paint,29690.444000000003
largest-contentful-paint,29690.444000000003
speed-index,29690.444000000003
total-blocking-time,4057.7779999999984
cumulative-layout-shift,0
interactive,34198.222
transfer-size,143362
resource-size,143028
server-response-time,123.263
first-contentful-paint,29504.758
largest-contentful-paint,29504.758
speed-index,29504.758
total-blocking-time,4253.120999999999
cumulative-layout-shift,0
interactive,34362.879
transfer-size,143362
resource-size,143028
server-response-time,160.688
first-contentful-paint,29535
largest-contentful-paint,29535
speed-index,29535
total-blocking-time,4327.5
cumulative-layout-shift,0
interactive,34337.5
transfer-size,143362
resource-size,143028
server-response-time,140.63400000000001
first-contentful-paint,30029.664
largest-contentful-paint,30029.664
speed-index,30029.664
total-blocking-time,4152.000000000004
cumulative-layout-shift,0
interactive,34681.664000000004
transfer-size,143362
resource-size,143028
server-response-time,134.53500000000003
first-contentful-paint,29836.881999999998
largest-contentful-paint,29865.9115
speed-index,29836.881999999998
total-blocking-time,4273.559000000001
cumulative-layout-shift,0
interactive,34610.441
transfer-size,143362
resource-size,143028
server-response-time,139.235
first-contentful-paint,29486.458
largest-contentful-paint,29486.458
speed-index,29486.458
total-blocking-time,4445.771000000001
cumulative-layout-shift,0
interactive,34407.229
transfer-size,143362
resource-size,143028
server-response-time,126.65
first-contentful-paint,29489.784
largest-contentful-paint,29489.784
speed-index,29489.784
total-blocking-time,4474.304
cumulative-layout-shift,0
interactive,34486.392
transfer-size,143362
resource-size,143028
server-response-time,103.45499999999998
first-contentful-paint,29575.483999999997
largest-contentful-paint,29575.483999999997
speed-index,29575.483999999997
total-blocking-time,3143.379000000001
cumulative-layout-shift,0
interactive,34618.242
transfer-size,143362
resource-size,143028
server-response-time,453.82099999999997
first-contentful-paint,29755.638499999997
largest-contentful-paint,29755.638499999997
speed-index,29755.638499999997
total-blocking-time,4097.5
cumulative-layout-shift,0
interactive,34688.259
transfer-size,143362
resource-size,143028
server-response-time,132.922
first-contentful-paint,29484.726000000002
largest-contentful-paint,29484.726000000002
speed-index,29484.726000000002
total-blocking-time,4290.568499999996
cumulative-layout-shift,0
interactive,34154.363
transfer-size,143362
resource-size,143028
server-response-time,147.328
first-contentful-paint,29509.729
largest-contentful-paint,29509.729
speed-index,29509.729
total-blocking-time,4277.257000000003
cumulative-layout-shift,0
interactive,34286.986000000004
transfer-size,143362
resource-size,143028
server-response-time,141.42700000000002
first-contentful-paint,29505.375999999997
largest-contentful-paint,29505.375999999997
speed-index,29505.375999999997
total-blocking-time,4285.311999999998
cumulative-layout-shift,0
interactive,34415.687999999995
transfer-size,143362
resource-size,143028
server-response-time,121.86599999999999
first-contentful-paint,29684.271
largest-contentful-paint,29684.271
speed-index,29684.271
total-blocking-time,4497.5
cumulative-layout-shift,0
interactive,34431.771
transfer-size,143362
resource-size,143028
server-response-time,137.07
first-contentful-paint,29667.1905
largest-contentful-paint,29667.1905
speed-index,29667.1905
total-blocking-time,4346.9365
cumulative-layout-shift,0
interactive,34514.127
transfer-size,143362
resource-size,143028
server-response-time,244.53699999999998
first-contentful-paint,29527.233999999997
largest-contentful-paint,29529.675499999998
speed-index,29527.233999999997
