Metric,Value
first-contentful-paint,766.9459999999999
largest-contentful-paint,1785.1825
speed-index,1491.8425787998012
total-blocking-time,559.527
cumulative-layout-shift,0
interactive,1879.1825
transfer-size,143364
resource-size,143030
server-response-time,23.222999999999992
first-contentful-paint,780.0340000000001
largest-contentful-paint,1824.0510000000002
speed-index,1528.0477835341435
total-blocking-time,693.983
cumulative-layout-shift,0
interactive,1978.0510000000002
transfer-size,143364
resource-size,143030
server-response-time,30.50399999999999
first-contentful-paint,768.8240000000001
largest-contentful-paint,1800.236
speed-index,1700.9124816927651
total-blocking-time,732.588
cumulative-layout-shift,0
interactive,1918.236
transfer-size,143364
resource-size,143030
server-response-time,25.073999999999998
first-contentful-paint,765.664
largest-contentful-paint,1805.496
speed-index,1537.3728847236548
total-blocking-time,663.1679999999999
cumulative-layout-shift,0
interactive,1905.4959999999999
transfer-size,143364
resource-size,143030
server-response-time,27.314000000000007
first-contentful-paint,767.594
largest-contentful-paint,1788.391
speed-index,1572.5279976400811
total-blocking-time,610.203
cumulative-layout-shift,0
interactive,1885.391
transfer-size,143364
resource-size,143030
server-response-time,32.848
first-contentful-paint,753.1279999999999
largest-contentful-paint,1742.692
speed-index,1145.3768037206653
total-blocking-time,390.4359999999999
cumulative-layout-shift,0
interactive,1829.692
transfer-size,143364
resource-size,143030
server-response-time,23.676000000000002
first-contentful-paint,754.298
largest-contentful-paint,1793.3725
speed-index,1413.8903962026966
total-blocking-time,664.8509999999999
cumulative-layout-shift,0
interactive,1914.3725
transfer-size,143364
resource-size,143030
server-response-time,23.886999999999993
first-contentful-paint,759.798
largest-contentful-paint,1780.2475
speed-index,1497.8578642531797
total-blocking-time,502.1009999999999
cumulative-layout-shift,0
interactive,1873.2475
transfer-size,143364
resource-size,143030
server-response-time,30.086000000000013
first-contentful-paint,762.412
largest-contentful-paint,1790.618
speed-index,1496.3529909947335
total-blocking-time,626.7940000000001
cumulative-layout-shift,0
interactive,1880.6180000000002
transfer-size,143364
resource-size,143030
server-response-time,32.52799999999999
first-contentful-paint,810
largest-contentful-paint,1846
speed-index,1604.0033792302647
total-blocking-time,656
cumulative-layout-shift,0
interactive,1952
transfer-size,143364
resource-size,143030
server-response-time,29.513999999999996
first-contentful-paint,778.6800000000001
largest-contentful-paint,1794.8500000000001
speed-index,1580.0459658544944
total-blocking-time,545.6600000000001
cumulative-layout-shift,0
interactive,1886.8500000000004
transfer-size,143364
resource-size,143030
server-response-time,47.572
first-contentful-paint,764.0619999999999
largest-contentful-paint,1795.0929999999998
speed-index,1492.1176987808408
total-blocking-time,605.969
cumulative-layout-shift,0
interactive,1897.0929999999998
transfer-size,143364
resource-size,143030
server-response-time,34.122
first-contentful-paint,750.306
largest-contentful-paint,1761.3825000000002
speed-index,1479.1739302725834
total-blocking-time,525.847
cumulative-layout-shift,0
interactive,1862.3825000000002
transfer-size,143364
resource-size,143030
server-response-time,32.55799999999999
first-contentful-paint,753.25
largest-contentful-paint,1773.875
speed-index,1529.740615318592
total-blocking-time,580.375
cumulative-layout-shift,0
interactive,1880.875
transfer-size,143364
resource-size,143030
server-response-time,32.678
first-contentful-paint,766.8879999999999
largest-contentful-paint,1836.11
speed-index,1498.615348900712
total-blocking-time,576.556
cumulative-layout-shift,0
interactive,1932.11
transfer-size,143364
resource-size,143030
server-response-time,25.894999999999996
first-contentful-paint,752.318
largest-contentful-paint,1772.4769999999999
speed-index,1397.3156312365531
total-blocking-time,581.8410000000001
cumulative-layout-shift,0
interactive,1865.477
transfer-size,143364
resource-size,143030
server-response-time,24.548000000000002
first-contentful-paint,762.1399999999999
