Metric,Value
first-contentful-paint,933.7840000000001
largest-contentful-paint,2390.514
speed-index,3409.772067435146
total-blocking-time,697.1079999999997
cumulative-layout-shift,0.018705684995949323
interactive,8547.463999999996
transfer-size,142286
resource-size,141952
server-response-time,98.002
first-contentful-paint,1061.4560000000001
largest-contentful-paint,1090.6080000000002
speed-index,2593.0352172290045
total-blocking-time,712.0000000000002
cumulative-layout-shift,0.040753452377841594
interactive,3756.1080000000006
transfer-size,142286
resource-size,141952
server-response-time,48.78699999999998
first-contentful-paint,997.646
largest-contentful-paint,1072.646
speed-index,2055.4392430964294
total-blocking-time,539.3384999999995
cumulative-layout-shift,0.0002992909599351892
interactive,3761.6459999999997
transfer-size,142286
resource-size,141952
server-response-time,79.239
first-contentful-paint,1013.354
largest-contentful-paint,1557.531
speed-index,2750.732436060679
total-blocking-time,1187.323
cumulative-layout-shift,0.0002992909599351892
interactive,4489.2654999999995
transfer-size,142286
resource-size,141952
server-response-time,40.76999999999998
first-contentful-paint,1019.3309999999999
largest-contentful-paint,1594.439
speed-index,1957.8789895434845
total-blocking-time,801.2230000000002
cumulative-layout-shift,0.005935937372047919
interactive,3814.3310000000006
transfer-size,142286
resource-size,141952
server-response-time,48.30000000000001
first-contentful-paint,1011.8179999999998
largest-contentful-paint,1086.8179999999998
speed-index,2644.480081025486
total-blocking-time,528.5910000000006
cumulative-layout-shift,0.049482772042617945
interactive,3739.818000000002
transfer-size,142286
resource-size,141952
server-response-time,48.52899999999997
first-contentful-paint,1012.8299999999999
largest-contentful-paint,2597.2875
speed-index,1912.5164093061283
total-blocking-time,791.085
cumulative-layout-shift,0
interactive,3718.83
transfer-size,142286
resource-size,141952
server-response-time,50.20600000000002
first-contentful-paint,1047.058
largest-contentful-paint,2695.848
speed-index,2799.685018727989
total-blocking-time,448.0000000000018
cumulative-layout-shift,0.00912837427802327
interactive,10077.429000000026
transfer-size,142286
resource-size,141952
server-response-time,40.39600000000007
first-contentful-paint,963.571
largest-contentful-paint,2522.9954999999995
speed-index,1721.8211900302404
total-blocking-time,688.4999999999998
cumulative-layout-shift,0
interactive,8018.981999999997
transfer-size,142286
resource-size,141952
server-response-time,42.773000000000025
first-contentful-paint,988.424
largest-contentful-paint,1291.78
speed-index,1844.4454007368872
total-blocking-time,578.288
cumulative-layout-shift,0.006235228331983108
interactive,3768.4239999999995
transfer-size,142286
resource-size,141952
server-response-time,81.95199999999998
first-contentful-paint,1226.672
largest-contentful-paint,1226.672
speed-index,2342.063708901961
total-blocking-time,480
cumulative-layout-shift,0.08619579646133449
interactive,4208.343999999999
transfer-size,142286
resource-size,141952
server-response-time,37.56100000000001
first-contentful-paint,926.6200000000001
largest-contentful-paint,1484.895
speed-index,2256.428184155559
total-blocking-time,707.1900000000016
cumulative-layout-shift,0.027883941100628456
interactive,11580.56500000001
transfer-size,142286
resource-size,141952
