Metric,Value
first-contentful-paint,956.748
largest-contentful-paint,250168.435
speed-index,33394.79833195276
total-blocking-time,2817
cumulative-layout-shift,0
interactive,250200.435
transfer-size,50311508
resource-size,50311170
server-response-time,121.12000000000035
first-contentful-paint,757.454
largest-contentful-paint,249518.3175
speed-index,16283.103680010414
total-blocking-time,2414
cumulative-layout-shift,0
interactive,249548.3175
transfer-size,50311508
resource-size,50311170
server-response-time,29.909
first-contentful-paint,759.704
largest-contentful-paint,250345.13
speed-index,5700.457399990653
total-blocking-time,3235
cumulative-layout-shift,0
interactive,250372.13
transfer-size,50311508
resource-size,50311170
server-response-time,23.760999999999996
first-contentful-paint,761.028
largest-contentful-paint,250772.78499999997
speed-index,30939.122676097344
total-blocking-time,3671
cumulative-layout-shift,0
interactive,250809.78499999997
transfer-size,50311508
resource-size,50311170
server-response-time,60.646000000000015
first-contentful-paint,766.0699999999999
largest-contentful-paint,249732.08750000002
speed-index,14166.840699942588
total-blocking-time,2619.5
cumulative-layout-shift,0
interactive,249764.58750000002
transfer-size,50311508
resource-size,50311170
server-response-time,30.010000000000005
first-contentful-paint,770.8319999999999
largest-contentful-paint,250549.03999999998
speed-index,29750.468799973292
total-blocking-time,3459
cumulative-layout-shift,0
interactive,250635.03999999998
transfer-size,50311508
resource-size,50311170
server-response-time,33.510000000000005
first-contentful-paint,775.2439999999999
largest-contentful-paint,249813.555
speed-index,11917.445800069427
total-blocking-time,2682
cumulative-layout-shift,0
interactive,249813.555
transfer-size,50311508
resource-size,50311170
server-response-time,40.452999999999996
first-contentful-paint,767.5699999999999
largest-contentful-paint,250987.96250000002
speed-index,26695.72130003738
total-blocking-time,3871.5
cumulative-layout-shift,0
interactive,251018.46250000002
transfer-size,50311508
resource-size,50311170
server-response-time,34.35900000000001
first-contentful-paint,754.232
largest-contentful-paint,250566.28999999998
speed-index,16190.669200025366
total-blocking-time,3464.5
cumulative-layout-shift,0
interactive,250594.78999999998
transfer-size,50311508
resource-size,50311170
server-response-time,39.507999999999996
first-contentful-paint,753.0899999999999
largest-contentful-paint,250977.8625
speed-index,6698.63110005474
total-blocking-time,3887.5
cumulative-layout-shift,0
interactive,251016.3625
transfer-size,50311508
resource-size,50311170
server-response-time,24.156999999999996
first-contentful-paint,768.1279999999999
largest-contentful-paint,250676.66
speed-index,22435.71739992924
total-blocking-time,3566.5
cumulative-layout-shift,0
interactive,250714.16
transfer-size,50311508
resource-size,50311170
server-response-time,34.71600000000001
first-contentful-paint,765.26
largest-contentful-paint,250860.075
speed-index,9717.307400125503
total-blocking-time,3749
cumulative-layout-shift,0
interactive,250893.075
transfer-size,50311508
resource-size,50311170
server-response-time,41.40899999999999
first-contentful-paint,939.674
largest-contentful-paint,249953.5925
speed-index,31161.083052041147
total-blocking-time,2602.5
cumulative-layout-shift,0
interactive,249985.0925
transfer-size,50311508
resource-size,50311170
server-response-time,120.24699999999984
first-contentful-paint,759.9159999999999
largest-contentful-paint,250649.39500000002
speed-index,8748.256600022698
total-blocking-time,3550
cumulative-layout-shift,0
interactive,250687.39500000002
transfer-size,50311508
resource-size,50311170
server-response-time,27.046999999999997
first-contentful-paint,756.664
largest-contentful-paint,250768.33
speed-index,10514.436599899864
total-blocking-time,3692
cumulative-layout-shift,0
interactive,250850.33
transfer-size,50311508
resource-size,50311170
server-response-time,26.095999999999997
first-contentful-paint,781.604
largest-contentful-paint,251108.505
speed-index,15978.025675931787
total-blocking-time,3976.5
cumulative-layout-shift,0
interactive,251141.005
transfer-size,50311508
resource-size,50311170
server-response-time,32.231
first-contentful-paint,755.6880000000001
largest-contentful-paint,251229.11
speed-index,20892.72879997463
total-blocking-time,4154
cumulative-layout-shift,0
interactive,251311.11
transfer-size,50311508
resource-size,50311170
server-response-time,41.668000000000006
first-contentful-paint,770.8800000000001
largest-contentful-paint,251036.1
speed-index,15884.27467601323
total-blocking-time,3958
cumulative-layout-shift,0
interactive,251134.1
transfer-size,50311508
resource-size,50311170
server-response-time,38.31100000000001
first-contentful-paint,753.6100000000001
largest-contentful-paint,250904.51249999998
speed-index,8935.418700036047
total-blocking-time,3812.5
cumulative-layout-shift,0
interactive,250942.01249999998
transfer-size,50311508
resource-size,50311170
server-response-time,30.013999999999996
first-contentful-paint,754.7080000000001
largest-contentful-paint,250936.885
speed-index,7177.23568450181
total-blocking-time,3985.6459999999997
cumulative-layout-shift,0
interactive,250972.885
transfer-size,50311508
resource-size,50311170
server-response-time,24.510000000000005
first-contentful-paint,788.654
largest-contentful-paint,251046.3175
speed-index,13381.157099993323
total-blocking-time,3906
cumulative-layout-shift,0
interactive,251079.3175
transfer-size,50311508
resource-size,50311170
server-response-time,50.321
first-contentful-paint,769.21
largest-contentful-paint,251102.0125
speed-index,8562.54810004139
total-blocking-time,4012
cumulative-layout-shift,0
interactive,251186.0125
transfer-size,50311508
resource-size,50311170
server-response-time,28.116
first-contentful-paint,753.672
largest-contentful-paint,251185.59
speed-index,6608.646399947929
total-blocking-time,4092.5
cumulative-layout-shift,0
interactive,251222.09
transfer-size,50311508
resource-size,50311170
server-response-time,24.366
first-contentful-paint,938.8980000000001
largest-contentful-paint,250007.1225
speed-index,31919.332452051825
total-blocking-time,2676
cumulative-layout-shift,0
interactive,250037.1225
transfer-size,50311508
resource-size,50311170
server-response-time,121.9659999999999
first-contentful-paint,810
largest-contentful-paint,250958
speed-index,19144.664476065635
total-blocking-time,3797
cumulative-layout-shift,0
interactive,250997
transfer-size,50311508
resource-size,50311170
server-response-time,23.768
first-contentful-paint,764.8340000000001
largest-contentful-paint,250712.54249999998
speed-index,12520.081575897071
total-blocking-time,3607.5
cumulative-layout-shift,0
interactive,250751.04249999998
transfer-size,50311508
resource-size,50311170
server-response-time,32.917
first-contentful-paint,755.8040000000001
largest-contentful-paint,250413.255
speed-index,11475.728000085448
total-blocking-time,3345
cumulative-layout-shift,0
interactive,250502.255
transfer-size,50311508
resource-size,50311170
server-response-time,37.42800000000001
first-contentful-paint,769.1780000000001
largest-contentful-paint,250438.97250000003
speed-index,16006.159300034713
total-blocking-time,3321.5
cumulative-layout-shift,0
interactive,250470.47250000003
transfer-size,50311508
resource-size,50311170
server-response-time,35.966
first-contentful-paint,765.338
largest-contentful-paint,251002.1725
speed-index,6971.676699993323
total-blocking-time,3893
cumulative-layout-shift,0
interactive,251037.1725
transfer-size,50311508
resource-size,50311170
server-response-time,46.861000000000004
first-contentful-paint,762.8699999999999
largest-contentful-paint,251270.0875
speed-index,21487.387900045393
total-blocking-time,4165.5
cumulative-layout-shift,0
interactive,251306.5875
transfer-size,50311508
resource-size,50311170
server-response-time,23.791000000000004
first-contentful-paint,757.25
largest-contentful-paint,250972.0625
speed-index,6154.32990014553
total-blocking-time,3875
cumulative-layout-shift,0
interactive,251009.0625
transfer-size,50311508
resource-size,50311170
server-response-time,26.376999999999995
first-contentful-paint,775.684
largest-contentful-paint,251061.105
speed-index,7366.065799989318
total-blocking-time,3943.5
cumulative-layout-shift,0
interactive,251100.605
transfer-size,50311508
resource-size,50311170
server-response-time,48.248
first-contentful-paint,760.7539999999999
largest-contentful-paint,251177.4425
speed-index,5836.900496998591
total-blocking-time,4084.6229999999996
cumulative-layout-shift,0
interactive,251214.4425
transfer-size,50311508
resource-size,50311170
server-response-time,26.052999999999997
first-contentful-paint,766.1500000000001
largest-contentful-paint,250949.1875
speed-index,18327.608700022698
total-blocking-time,3841.5
cumulative-layout-shift,0
interactive,250986.6875
transfer-size,50311508
resource-size,50311170
server-response-time,40.837
first-contentful-paint,944.28
largest-contentful-paint,249672.85
speed-index,27627.746532063244
total-blocking-time,2335.5
cumulative-layout-shift,0
interactive,249703.35
transfer-size,50311508
resource-size,50311170
server-response-time,121.95699999999988
first-contentful-paint,785.7819999999999
largest-contentful-paint,251049.7275
speed-index,8268.082099943924
total-blocking-time,3918
cumulative-layout-shift,0
interactive,251087.7275
transfer-size,50311508
resource-size,50311170
server-response-time,43.056000000000004
first-contentful-paint,771.0319999999999
largest-contentful-paint,251183.29
speed-index,19332.802599983977
total-blocking-time,4088
cumulative-layout-shift,0
interactive,251264.29
transfer-size,50311508
resource-size,50311170
server-response-time,38.969
first-contentful-paint,761.604
largest-contentful-paint,250886.505
speed-index,11870.229599893188
total-blocking-time,3784.5
cumulative-layout-shift,0
interactive,250924.005
transfer-size,50311508
resource-size,50311170
server-response-time,31.073
first-contentful-paint,764.586
largest-contentful-paint,250811.2325
speed-index,13652.944100116158
total-blocking-time,3703.5
cumulative-layout-shift,0
interactive,250846.7325
transfer-size,50311508
resource-size,50311170
server-response-time,43.695
first-contentful-paint,810
largest-contentful-paint,251280
speed-index,7398.732600021362
total-blocking-time,4116
cumulative-layout-shift,0
interactive,251316
transfer-size,50311508
resource-size,50311170
server-response-time,27.028
first-contentful-paint,765.952
largest-contentful-paint,251303.94
speed-index,6781.512980003404
total-blocking-time,4215
cumulative-layout-shift,0
interactive,251384.94
transfer-size,50311508
resource-size,50311170
server-response-time,41.851
first-contentful-paint,759.364
largest-contentful-paint,251390.70500000002
speed-index,6519.996600133514
total-blocking-time,4291
cumulative-layout-shift,0
interactive,251427.70500000002
transfer-size,50311508
resource-size,50311170
server-response-time,25.131
first-contentful-paint,767.6800000000001
largest-contentful-paint,251516.09999999998
speed-index,6790.35339986515
total-blocking-time,4407.5
cumulative-layout-shift,0
interactive,251554.59999999998
transfer-size,50311508
resource-size,50311170
server-response-time,23.912
first-contentful-paint,752.5219999999999
largest-contentful-paint,251308.1525
speed-index,8340.585099970627
total-blocking-time,4238
cumulative-layout-shift,0
interactive,251391.1525
transfer-size,50311508
resource-size,50311170
server-response-time,23.115999999999993
first-contentful-paint,810
largest-contentful-paint,250789
speed-index,10558.235800004004
total-blocking-time,3625
cumulative-layout-shift,0
interactive,250825
transfer-size,50311508
resource-size,50311170
server-response-time,30.51400000000001
first-contentful-paint,953.326
largest-contentful-paint,249713.1575
speed-index,28026.844851981063
total-blocking-time,2359
cumulative-layout-shift,0
interactive,249713.1575
transfer-size,50311508
resource-size,50311170
server-response-time,122.7159999999999
first-contentful-paint,778.03
largest-contentful-paint,250951.0375
speed-index,8533.394499999999
total-blocking-time,3827
cumulative-layout-shift,0
interactive,250987.0375
transfer-size,50311508
resource-size,50311170
server-response-time,38.132000000000005
first-contentful-paint,755.838
largest-contentful-paint,251094.2975
speed-index,27367.978031942082
total-blocking-time,3998.5
cumulative-layout-shift,0
interactive,251130.7975
transfer-size,50311508
resource-size,50311170
server-response-time,301.119
first-contentful-paint,752.722
largest-contentful-paint,250837.40250000003
speed-index,28524.88889991455
total-blocking-time,3736
cumulative-layout-shift,0
interactive,250864.40250000003
transfer-size,50311508
resource-size,50311170
server-response-time,35.58
first-contentful-paint,761.0240000000001
largest-contentful-paint,249838.78
speed-index,7574.590999851799
total-blocking-time,2729.5
cumulative-layout-shift,0
interactive,249868.28
transfer-size,50311508
resource-size,50311170
server-response-time,31.419999999999995
first-contentful-paint,761.1199999999999
largest-contentful-paint,251372.9
speed-index,6450.074000146866
total-blocking-time,4270.5
cumulative-layout-shift,0
interactive,251409.4
transfer-size,50311508
resource-size,50311170
server-response-time,35.541
first-contentful-paint,752.2719999999999
largest-contentful-paint,251272.84
speed-index,8266.508199965285
total-blocking-time,4182
cumulative-layout-shift,0
interactive,251309.84
transfer-size,50311508
resource-size,50311170
server-response-time,33.16499999999999
first-contentful-paint,754.5039999999999
largest-contentful-paint,251521.63
speed-index,8457.79667611203
total-blocking-time,4450
cumulative-layout-shift,0
interactive,251605.63
transfer-size,50311508
resource-size,50311170
server-response-time,24.928999999999995
first-contentful-paint,771.944
largest-contentful-paint,251391.43
speed-index,7859.190980052804
total-blocking-time,4276.5
cumulative-layout-shift,0
interactive,251428.93
transfer-size,50311508
resource-size,50311170
server-response-time,27.739000000000004
first-contentful-paint,759.0720000000001
largest-contentful-paint,251429.34
speed-index,13656.822000009346
total-blocking-time,4326.5
cumulative-layout-shift,0
interactive,251462.84
transfer-size,50311508
resource-size,50311170
server-response-time,27.511000000000003
first-contentful-paint,785.7359999999999
largest-contentful-paint,251167.66999999998
speed-index,9617.138876043939
total-blocking-time,4035
cumulative-layout-shift,0
interactive,251204.66999999998
transfer-size,50311508
resource-size,50311170
server-response-time,50.82299999999999
first-contentful-paint,944.0159999999998
largest-contentful-paint,250181.52000000002
speed-index,32029.662132134345
total-blocking-time,2844
