Metric,Mean,Standard Deviation
cumulative-layout-shift,0.0,0.0
first-contentful-paint,768.1719400000001,14.979530562576105
interactive,253667.87837499997,639.1455443026738
largest-contentful-paint,253238.31837499997,584.1112652793162
resource-size,50311170.0,0.0
server-response-time,32.29404,9.665176608167629
speed-index,12388.499505693508,7261.658581631391
total-blocking-time,6504.10262,635.2860033592088
transfer-size,50311508.0,0.0
