Metric,Value
first-contentful-paint,775.99
largest-contentful-paint,254769.985
speed-index,30942.303983108886
total-blocking-time,8172
cumulative-layout-shift,0
interactive,255360.985
transfer-size,50311508
resource-size,50311170
server-response-time,30.453000000000003
first-contentful-paint,758.462
largest-contentful-paint,253600.5775
speed-index,13148.478900001333
total-blocking-time,6919
cumulative-layout-shift,0
interactive,254079.5775
transfer-size,50311508
resource-size,50311170
server-response-time,25.628999999999998
first-contentful-paint,770.0340000000001
largest-contentful-paint,252995.0425
speed-index,17930.202299909208
total-blocking-time,6231
cumulative-layout-shift,0
interactive,253406.0425
transfer-size,50311508
resource-size,50311170
server-response-time,45.36
first-contentful-paint,756.55
largest-contentful-paint,254369.1875
speed-index,30377.610099954603
total-blocking-time,7789
cumulative-layout-shift,0
interactive,254947.1875
transfer-size,50311508
resource-size,50311170
server-response-time,26.969
first-contentful-paint,765.1220000000001
largest-contentful-paint,254724.683
speed-index,30318.458500029374
total-blocking-time,8160
cumulative-layout-shift,0
interactive,255332.683
transfer-size,50311508
resource-size,50311170
server-response-time,41.19600000000001
first-contentful-paint,770.664
largest-contentful-paint,253388.99599999998
speed-index,22924.92124738819
total-blocking-time,6608
cumulative-layout-shift,0
interactive,253788.99599999998
transfer-size,50311508
resource-size,50311170
server-response-time,54.92999999999999
first-contentful-paint,769.1099999999999
largest-contentful-paint,254524.66499999998
speed-index,24424.476100048065
total-blocking-time,7922
cumulative-layout-shift,0
interactive,255100.66499999998
transfer-size,50311508
resource-size,50311170
server-response-time,50.04499999999999
first-contentful-paint,760.912
largest-contentful-paint,253242.36800000002
speed-index,14249.219799926566
total-blocking-time,6564
cumulative-layout-shift,0
interactive,253730.36800000002
transfer-size,50311508
resource-size,50311170
server-response-time,43.166
first-contentful-paint,780.48
largest-contentful-paint,253694.72
speed-index,11119.655800044058
total-blocking-time,7034
cumulative-layout-shift,0
interactive,254229.72
transfer-size,50311508
resource-size,50311170
server-response-time,52.521
first-contentful-paint,763.1759999999999
largest-contentful-paint,252083.47
speed-index,6798.048042591529
total-blocking-time,5259
cumulative-layout-shift,0
interactive,252425.47
transfer-size,50311508
resource-size,50311170
server-response-time,26.186999999999998
first-contentful-paint,810
largest-contentful-paint,253029
speed-index,7573.169799923896
total-blocking-time,6186
cumulative-layout-shift,0
interactive,253426
transfer-size,50311508
resource-size,50311170
server-response-time,24.817999999999998
first-contentful-paint,762.516
largest-contentful-paint,252683.548
speed-index,6923.4594548217465
total-blocking-time,5986
cumulative-layout-shift,0
interactive,253130.548
transfer-size,50311508
resource-size,50311170
server-response-time,26.50800000000001
first-contentful-paint,798.636
largest-contentful-paint,254570.79499999998
speed-index,30365.978800052068
total-blocking-time,8006
cumulative-layout-shift,0
interactive,255216.79499999998
transfer-size,50311508
resource-size,50311170
server-response-time,62.626000000000005
first-contentful-paint,762.5239999999999
largest-contentful-paint,253257.655
speed-index,14846.579399977301
total-blocking-time,6500
cumulative-layout-shift,0
interactive,253665.655
transfer-size,50311508
resource-size,50311170
server-response-time,24.891000000000005
first-contentful-paint,776.9859999999999
largest-contentful-paint,253139.73249999998
speed-index,24102.38470004406
total-blocking-time,6317
cumulative-layout-shift,0
interactive,253500.73249999998
transfer-size,50311508
resource-size,50311170
server-response-time,32.53399999999999
first-contentful-paint,775.636
