Metric,Value
first-contentful-paint,765.1099999999999
largest-contentful-paint,765.1099999999999
speed-index,3639.8375640981194
total-blocking-time,33
cumulative-layout-shift,0
interactive,1751.8874999999998
transfer-size,143362
resource-size,143028
server-response-time,43.48199999999997
first-contentful-paint,838.5999999999999
largest-contentful-paint,838.5999999999999
speed-index,838.5999999999999
total-blocking-time,9
cumulative-layout-shift,0
interactive,1247.6
transfer-size,143362
resource-size,143028
server-response-time,25.289
first-contentful-paint,752.96
largest-contentful-paint,752.96
speed-index,752.96
total-blocking-time,0.5
cumulative-layout-shift,0
interactive,1229.2
transfer-size,143362
resource-size,143028
server-response-time,25.951
first-contentful-paint,766.954
largest-contentful-paint,766.954
speed-index,766.954
total-blocking-time,33
cumulative-layout-shift,0
interactive,1754.1925
transfer-size,143362
resource-size,143028
server-response-time,23.986000000000004
first-contentful-paint,758.5240000000001
largest-contentful-paint,1759.6550000000002
speed-index,758.5240000000001
total-blocking-time,49
cumulative-layout-shift,0
interactive,1759.6550000000002
transfer-size,143362
resource-size,143028
server-response-time,29.85000000000001
first-contentful-paint,754.75
largest-contentful-paint,754.75
speed-index,754.75
total-blocking-time,3
cumulative-layout-shift,0
interactive,1233.9375
transfer-size,143362
resource-size,143028
server-response-time,34.057
first-contentful-paint,766.6479999999999
largest-contentful-paint,766.6479999999999
speed-index,766.6479999999999
total-blocking-time,10.5
cumulative-layout-shift,0
interactive,1256.31
transfer-size,143362
resource-size,143028
server-response-time,40.38499999999999
first-contentful-paint,767.164
largest-contentful-paint,767.164
speed-index,767.164
total-blocking-time,48
cumulative-layout-shift,0
interactive,1773.746
transfer-size,143362
resource-size,143028
server-response-time,31.211
first-contentful-paint,753.472
largest-contentful-paint,753.472
speed-index,753.472
total-blocking-time,6
cumulative-layout-shift,0
interactive,1235.3400000000001
transfer-size,143362
resource-size,143028
server-response-time,36.162000000000006
first-contentful-paint,755.778
largest-contentful-paint,755.778
speed-index,755.778
total-blocking-time,6
cumulative-layout-shift,0
interactive,1238.2224999999999
transfer-size,143362
resource-size,143028
server-response-time,25.153000000000006
first-contentful-paint,810
largest-contentful-paint,810
speed-index,810
total-blocking-time,3.5
cumulative-layout-shift,0
interactive,1303.5
transfer-size,143362
resource-size,143028
server-response-time,24.29400000000001
first-contentful-paint,762.9459999999999
largest-contentful-paint,762.9459999999999
speed-index,762.9459999999999
total-blocking-time,11.5
cumulative-layout-shift,0
interactive,1252.6825
transfer-size,143362
resource-size,143028
server-response-time,30.394000000000005
first-contentful-paint,773.354
largest-contentful-paint,773.354
