Metric,Value
first-contentful-paint,2237.5339999999997
largest-contentful-paint,4000.4919999999984
speed-index,34758.48803740238
total-blocking-time,41829.499999999956
cumulative-layout-shift,0
interactive,83898.856
transfer-size,142286
resource-size,141952
server-response-time,297.68800000000005
first-contentful-paint,2232.9435
largest-contentful-paint,5046.289999999999
speed-index,20966.144011032415
total-blocking-time,6700.685500000001
cumulative-layout-shift,0
interactive,34514.129
transfer-size,142286
resource-size,141952
server-response-time,267.188
first-contentful-paint,2262.732
largest-contentful-paint,3553.392
speed-index,39920.77297260687
total-blocking-time,44701.49999999971
cumulative-layout-shift,0
interactive,94980.23199999999
transfer-size,142286
resource-size,141952
server-response-time,230.974
first-contentful-paint,2205.3500000000004
largest-contentful-paint,2512.9375000000005
speed-index,33034.70730289605
total-blocking-time,41581.825000000244
cumulative-layout-shift,0
interactive,81584.17499999999
transfer-size,142286
resource-size,141952
server-response-time,363.84200000000004
first-contentful-paint,2266.3745
largest-contentful-paint,2423.166
speed-index,33298.18822433553
total-blocking-time,41519.99999999984
cumulative-layout-shift,0
interactive,81999.083
transfer-size,142286
resource-size,141952
server-response-time,260.476
first-contentful-paint,2266.3644999999997
largest-contentful-paint,2422.486
speed-index,32363.403337957767
total-blocking-time,26933.87850000004
cumulative-layout-shift,0
interactive,70044.24300000002
transfer-size,142286
resource-size,141952
server-response-time,270.853
first-contentful-paint,2226.29
largest-contentful-paint,3929.515
speed-index,20165.007242869546
total-blocking-time,6076.677500000009
cumulative-layout-shift,0
interactive,36401.645000000004
transfer-size,142286
resource-size,141952
server-response-time,417.69
first-contentful-paint,2243.8599999999997
largest-contentful-paint,2454.4799999999996
speed-index,20281.329002777326
total-blocking-time,6304.380000000018
cumulative-layout-shift,0
interactive,35982.740000000034
transfer-size,142286
resource-size,141952
server-response-time,263.53499999999997
first-contentful-paint,2191.4184999999998
largest-contentful-paint,4025.232
speed-index,19211.869400393258
total-blocking-time,7609.360499999999
cumulative-layout-shift,0
interactive,36613.278999999995
transfer-size,142286
