Metric,Value
first-contentful-paint,810.181
largest-contentful-paint,810.181
speed-index,3711.57020607438
total-blocking-time,36.5
cumulative-layout-shift,0.025679164362439232
interactive,2333.99775
transfer-size,142286
resource-size,141952
server-response-time,38.141000000000076
first-contentful-paint,761.7090000000001
largest-contentful-paint,914.63625
speed-index,761.7090000000001
total-blocking-time,45
cumulative-layout-shift,0.025679164362439232
interactive,2217.1997499999998
transfer-size,142286
resource-size,141952
server-response-time,30.903000000000006
first-contentful-paint,763.838
largest-contentful-paint,1306.1354999999999
speed-index,763.838
total-blocking-time,9
cumulative-layout-shift,0
interactive,1643.5949999999998
transfer-size,142286
resource-size,141952
server-response-time,24.506
first-contentful-paint,790.972
largest-contentful-paint,1281.944
speed-index,790.972
total-blocking-time,9.5
cumulative-layout-shift,0.012839582181219616
interactive,1711.9299999999998
transfer-size,142286
resource-size,141952
server-response-time,25.03500000000001
first-contentful-paint,812.0540000000001
largest-contentful-paint,2363.6215
speed-index,812.0540000000001
total-blocking-time,21
cumulative-layout-shift,0.025679164362439232
interactive,2287.6485000000002
transfer-size,142286
resource-size,141952
server-response-time,28.763999999999996
first-contentful-paint,762.2539999999999
largest-contentful-paint,1302.5714999999998
speed-index,762.2539999999999
total-blocking-time,35
cumulative-layout-shift,0
interactive,2199.6984999999995
transfer-size,142286
resource-size,141952
server-response-time,27.929999999999993
first-contentful-paint,773.951
largest-contentful-paint,1328.88975
speed-index,773.951
total-blocking-time,38.5
cumulative-layout-shift,0
interactive,2217.86525
transfer-size,142286
resource-size,141952
server-response-time,30.736999999999995
first-contentful-paint,767.883
largest-contentful-paint,1235.766
speed-index,767.883
total-blocking-time,49.5
cumulative-layout-shift,0
interactive,2236.7075
transfer-size,142286
resource-size,141952
server-response-time,32.72200000000001
first-contentful-paint,768.0630000000001
largest-contentful-paint,1315.6417500000002
speed-index,768.0630000000001
total-blocking-time,38.5
cumulative-layout-shift,0.012839582181219616
interactive,2218.6575000000003
transfer-size,142286
resource-size,141952
server-response-time,26.036999999999992
first-contentful-paint,786.1790000000001
largest-contentful-paint,1356.4027500000002
speed-index,786.1790000000001
total-blocking-time,21.5
cumulative-layout-shift,0
interactive,2217.4922500000002
transfer-size,142286
resource-size,141952
server-response-time,25.22
first-contentful-paint,795.5050000000001
largest-contentful-paint,1291.0100000000002
speed-index,795.5050000000001
total-blocking-time,37
