Metric,Value
first-contentful-paint,1363.6419999999998
largest-contentful-paint,1363.6419999999998
speed-index,1649.2440880434983
total-blocking-time,249
cumulative-layout-shift,0
interactive,2766.0525
transfer-size,142369
resource-size,142035
server-response-time,291.241
first-contentful-paint,949.8240000000001
largest-contentful-paint,949.8240000000001
speed-index,1466.493064031696
total-blocking-time,337.9999999999999
cumulative-layout-shift,0
interactive,2337.7799999999997
transfer-size,142369
resource-size,142035
server-response-time,571.319
first-contentful-paint,753.2919999999999
largest-contentful-paint,753.2919999999999
speed-index,753.2919999999999
total-blocking-time,220
cumulative-layout-shift,0
interactive,1968.1149999999998
transfer-size,142369
resource-size,142035
server-response-time,135.849
first-contentful-paint,1575.152
largest-contentful-paint,1575.152
speed-index,1891.5300639756197
total-blocking-time,249.5
cumulative-layout-shift,0
interactive,3025.94
transfer-size,142369
resource-size,142035
server-response-time,241.37800000000001
first-contentful-paint,1177.382
largest-contentful-paint,1177.382
speed-index,1614.8691639903063
total-blocking-time,244.5
cumulative-layout-shift,0
interactive,2528.7275
transfer-size,142369
resource-size,142035
server-response-time,453.663
first-contentful-paint,1810.7780000000002
largest-contentful-paint,1810.7780000000002
speed-index,2073.837764013004
total-blocking-time,241
cumulative-layout-shift,0
interactive,3312.9725000000003
transfer-size,142369
resource-size,142035
server-response-time,145.83499999999998
first-contentful-paint,925.3699999999999
largest-contentful-paint,925.3699999999999
speed-index,1622.683164007663
total-blocking-time,257.5
cumulative-layout-shift,0
interactive,2226.7124999999996
transfer-size,142369
resource-size,142035
server-response-time,702.021
first-contentful-paint,783.9300000000001
largest-contentful-paint,783.9300000000001
speed-index,1331.9844880261417
total-blocking-time,250
cumulative-layout-shift,0
interactive,2040.895
transfer-size,142369
resource-size,142035
server-response-time,642.943
first-contentful-paint,1189.924
largest-contentful-paint,1189.924
speed-index,1880.772187967395
total-blocking-time,270.5
cumulative-layout-shift,0
interactive,2570.4049999999997
transfer-size,142369
resource-size,142035
server-response-time,635.141
first-contentful-paint,915.4659999999999
largest-contentful-paint,915.4659999999999
speed-index,998.8856879900927
total-blocking-time,303.4999999999999
cumulative-layout-shift,0
interactive,2260.3324999999995
transfer-size,142369
resource-size,142035
server-response-time,254.40099999999998
first-contentful-paint,759.7159999999999
largest-contentful-paint,759.7159999999999
speed-index,771.4521880117888
total-blocking-time,299.4999999999999
cumulative-layout-shift,0
interactive,2061.6449999999995
transfer-size,142369
resource-size,142035
server-response-time,259.89500000000004
first-contentful-paint,928.9279999999999
largest-contentful-paint,928.9279999999999
speed-index,928.9279999999999
total-blocking-time,281.5
cumulative-layout-shift,0
interactive,2255.16
transfer-size,142369
resource-size,142035
server-response-time,140.82299999999998
first-contentful-paint,1178.562
largest-contentful-paint,1178.562
speed-index,1538.1349639325613
total-blocking-time,247.5
cumulative-layout-shift,0
interactive,2533.2025
transfer-size,142369
resource-size,142035
server-response-time,393.27700000000004
first-contentful-paint,942.884
largest-contentful-paint,942.884
speed-index,1005.356664013004
total-blocking-time,298
cumulative-layout-shift,0
interactive,2289.105
transfer-size,142369
resource-size,142035
server-response-time,238.716
first-contentful-paint,938.358
largest-contentful-paint,938.358
speed-index,1024.1741520027633
total-blocking-time,267.0000000000001
cumulative-layout-shift,0
interactive,2223.4475
transfer-size,142369
resource-size,142035
server-response-time,271.729
first-contentful-paint,756.6300000000001
largest-contentful-paint,756.6300000000001
speed-index,759.0830400035378
total-blocking-time,236
cumulative-layout-shift,0
interactive,1986.2875000000001
transfer-size,142369
resource-size,142035
server-response-time,211.51
first-contentful-paint,954.076
largest-contentful-paint,954.076
speed-index,954.076
total-blocking-time,246
cumulative-layout-shift,0
interactive,2251.0950000000003
transfer-size,142369
resource-size,142035
server-response-time,176.155
first-contentful-paint,939.9079999999999
largest-contentful-paint,939.9079999999999
speed-index,939.9079999999999
total-blocking-time,245.0000000000001
cumulative-layout-shift,0
interactive,2224.385
transfer-size,142369
resource-size,142035
server-response-time,147.93
first-contentful-paint,979.1020000000001
largest-contentful-paint,979.1020000000001
speed-index,1013.7928399768349
total-blocking-time,311.4999999999999
cumulative-layout-shift,0
interactive,2371.3775
transfer-size,142369
resource-size,142035
server-response-time,152.231
first-contentful-paint,923.9480000000001
largest-contentful-paint,923.9480000000001
speed-index,923.9480000000001
total-blocking-time,321.0000000000001
cumulative-layout-shift,0
interactive,2288.4350000000004
transfer-size,142369
resource-size,142035
server-response-time,174.514
first-contentful-paint,970.7259999999999
largest-contentful-paint,970.7259999999999
speed-index,976.5773720437522
total-blocking-time,315.4999999999999
cumulative-layout-shift,0
interactive,2341.4075
transfer-size,142369
resource-size,142035
server-response-time,136.74699999999999
first-contentful-paint,810
largest-contentful-paint,810
speed-index,851.826472025394
total-blocking-time,305.5
cumulative-layout-shift,0
interactive,2130.5
transfer-size,142369
resource-size,142035
server-response-time,242.72799999999998
first-contentful-paint,929.8679999999999
largest-contentful-paint,929.8679999999999
speed-index,929.8679999999999
total-blocking-time,258.4999999999999
cumulative-layout-shift,0
interactive,2233.335
transfer-size,142369
resource-size,142035
server-response-time,140.95499999999998
first-contentful-paint,937.7939999999999
largest-contentful-paint,937.7939999999999
speed-index,1561.4386880141253
total-blocking-time,261
cumulative-layout-shift,0
interactive,2245.7425
transfer-size,142369
resource-size,142035
server-response-time,666.721
first-contentful-paint,936.866
largest-contentful-paint,936.866
speed-index,936.866
total-blocking-time,258.5
cumulative-layout-shift,0
interactive,2233.0825
transfer-size,142369
resource-size,142035
server-response-time,143.352
first-contentful-paint,756.748
largest-contentful-paint,756.748
speed-index,759.7804160217759
total-blocking-time,247
cumulative-layout-shift,0
interactive,2005.435
transfer-size,142369
resource-size,142035
server-response-time,240.596
first-contentful-paint,927.694
largest-contentful-paint,927.694
speed-index,927.694
total-blocking-time,258.0000000000001
cumulative-layout-shift,0
interactive,2230.1175000000003
transfer-size,142369
resource-size,142035
server-response-time,151.764
first-contentful-paint,1128.848
largest-contentful-paint,1128.848
speed-index,1160.5173880488392
total-blocking-time,363.5
cumulative-layout-shift,0
interactive,2587.06
transfer-size,142369
resource-size,142035
server-response-time,147.098
first-contentful-paint,891.142
largest-contentful-paint,891.142
speed-index,1143.7535640423769
total-blocking-time,317.9999999999999
cumulative-layout-shift,0
interactive,2244.4275
transfer-size,142369
resource-size,142035
server-response-time,375.46500000000003
first-contentful-paint,993.722
largest-contentful-paint,993.722
speed-index,1059.2132880127904
total-blocking-time,317.9999999999999
cumulative-layout-shift,0
interactive,2372.6525
transfer-size,142369
resource-size,142035
server-response-time,259.18399999999997
first-contentful-paint,766.682
largest-contentful-paint,766.682
speed-index,991.818648027944
total-blocking-time,310.5
cumulative-layout-shift,0
interactive,2081.3525
transfer-size,142369
resource-size,142035
server-response-time,361.541
first-contentful-paint,934.3220000000001
largest-contentful-paint,934.3220000000001
speed-index,1120.8474879103178
total-blocking-time,259
cumulative-layout-shift,0
interactive,2229.4025
transfer-size,142369
resource-size,142035
server-response-time,349.29
first-contentful-paint,756.0340000000001
largest-contentful-paint,756.0340000000001
speed-index,1015.1429639886373
total-blocking-time,251
cumulative-layout-shift,0
interactive,2008.5425
transfer-size,142369
resource-size,142035
server-response-time,436.19
first-contentful-paint,1347.268
largest-contentful-paint,1347.268
speed-index,1426.3609880117888
total-blocking-time,258.5
cumulative-layout-shift,0
interactive,2755.085
transfer-size,142369
resource-size,142035
server-response-time,142.25400000000002
first-contentful-paint,760.4680000000001
largest-contentful-paint,760.4680000000001
speed-index,905.7143759831902
total-blocking-time,318
cumulative-layout-shift,0
interactive,2079.085
transfer-size,142369
resource-size,142035
server-response-time,335.806
first-contentful-paint,1163.188
largest-contentful-paint,1163.188
speed-index,1274.262588013124
total-blocking-time,261.5
cumulative-layout-shift,0
interactive,2527.985
transfer-size,142369
resource-size,142035
server-response-time,238.02800000000002
first-contentful-paint,898.54
largest-contentful-paint,898.54
speed-index,898.54
total-blocking-time,318
cumulative-layout-shift,0
interactive,2253.675
transfer-size,142369
resource-size,142035
server-response-time,141.52300000000002
first-contentful-paint,813.406
largest-contentful-paint,813.406
speed-index,931.1765639392372
total-blocking-time,322.5
cumulative-layout-shift,0
interactive,2151.7574999999997
transfer-size,142369
resource-size,142035
server-response-time,192.613
first-contentful-paint,790.594
largest-contentful-paint,790.594
speed-index,881.2770560279844
total-blocking-time,320
cumulative-layout-shift,0
interactive,2120.7425000000003
transfer-size,142369
resource-size,142035
server-response-time,252.671
first-contentful-paint,767.2280000000001
largest-contentful-paint,767.2280000000001
speed-index,767.2280000000001
total-blocking-time,373
cumulative-layout-shift,0
interactive,2144.535
transfer-size,142369
resource-size,142035
server-response-time,143.78300000000002
first-contentful-paint,927.9839999999999
largest-contentful-paint,927.9839999999999
speed-index,1075.8785879477018
total-blocking-time,280.4999999999999
cumulative-layout-shift,0
interactive,2252.9799999999996
transfer-size,142369
resource-size,142035
server-response-time,315.51599999999996
first-contentful-paint,1333.3360000000002
largest-contentful-paint,1333.3360000000002
speed-index,1414.1458639649386
total-blocking-time,279.5
cumulative-layout-shift,0
interactive,2758.67
transfer-size,142369
resource-size,142035
server-response-time,135.89000000000001
first-contentful-paint,762.72
largest-contentful-paint,762.72
speed-index,926.8771280460354
total-blocking-time,246.5
cumulative-layout-shift,0
interactive,2012.4
transfer-size,142369
resource-size,142035
server-response-time,368.237
first-contentful-paint,1136.308
largest-contentful-paint,1136.308
speed-index,1270.6496639916413
total-blocking-time,283
cumulative-layout-shift,0
interactive,2515.885
transfer-size,142369
resource-size,142035
server-response-time,245.95299999999997
first-contentful-paint,945.0719999999999
largest-contentful-paint,945.0719999999999
speed-index,945.0719999999999
total-blocking-time,361.0000000000002
cumulative-layout-shift,0
interactive,2354.84
transfer-size,142369
resource-size,142035
server-response-time,166.752
first-contentful-paint,1200.654
largest-contentful-paint,1200.654
speed-index,1870.789887983417
total-blocking-time,262
cumulative-layout-shift,0
interactive,2575.3175
transfer-size,142369
resource-size,142035
server-response-time,625.152
first-contentful-paint,857.212
largest-contentful-paint,857.212
speed-index,990.9553879490373
total-blocking-time,429.0000000000001
cumulative-layout-shift,0
interactive,2313.0150000000003
transfer-size,142369
resource-size,142035
server-response-time,272.861
first-contentful-paint,1109.084
largest-contentful-paint,1109.084
speed-index,1186.9846360851284
total-blocking-time,317.9999999999999
cumulative-layout-shift,0
interactive,2516.855
transfer-size,142369
resource-size,142035
server-response-time,143.82600000000002
first-contentful-paint,769.472
largest-contentful-paint,769.472
speed-index,769.472
total-blocking-time,317.9999999999999
cumulative-layout-shift,0
interactive,2092.34
transfer-size,142369
resource-size,142035
server-response-time,144.429
first-contentful-paint,943.9939999999999
largest-contentful-paint,943.9939999999999
speed-index,943.9939999999999
total-blocking-time,269.4999999999999
cumulative-layout-shift,0
interactive,2261.9925
transfer-size,142369
resource-size,142035
server-response-time,143.25
first-contentful-paint,944.95
largest-contentful-paint,944.95
speed-index,944.95
total-blocking-time,238.9999999999999
cumulative-layout-shift,0
interactive,2224.6875
transfer-size,142369
resource-size,142035
server-response-time,182.835
first-contentful-paint,935.098
largest-contentful-paint,935.098
speed-index,935.098
total-blocking-time,250.5
cumulative-layout-shift,0
interactive,2230.8725
transfer-size,142369
resource-size,142035
server-response-time,179.406
first-contentful-paint,754.492
largest-contentful-paint,754.492
speed-index,754.492
total-blocking-time,238
cumulative-layout-shift,0
interactive,1985.6149999999998
transfer-size,142369
resource-size,142035
server-response-time,189.292
first-contentful-paint,825.2840000000001
largest-contentful-paint,825.2840000000001
speed-index,883.2663881102558
total-blocking-time,330.0000000000001
cumulative-layout-shift,0
interactive,2174.1050000000005
transfer-size,142369
resource-size,142035
server-response-time,207.17800000000003
first-contentful-paint,927.492
largest-contentful-paint,927.492
speed-index,927.492
total-blocking-time,369.0000000000001
cumulative-layout-shift,0
interactive,2340.865
transfer-size,142369
resource-size,142035
server-response-time,150.674
first-contentful-paint,1092.408
largest-contentful-paint,2164.01
speed-index,1266.2641880795475
total-blocking-time,387
cumulative-layout-shift,0
interactive,2565.01
transfer-size,142369
resource-size,142035
server-response-time,260.308
first-contentful-paint,1807.4720000000002
largest-contentful-paint,1807.4720000000002
speed-index,2056.6327880061144
total-blocking-time,265.5
cumulative-layout-shift,0
interactive,3337.34
transfer-size,142369
resource-size,142035
server-response-time,136.39299999999997
first-contentful-paint,776.52
largest-contentful-paint,776.52
speed-index,776.52
total-blocking-time,321.4999999999999
cumulative-layout-shift,0
interactive,2104.6499999999996
transfer-size,142369
resource-size,142035
server-response-time,139.039
first-contentful-paint,906.816
largest-contentful-paint,906.816
speed-index,906.816
total-blocking-time,243.4999999999999
cumulative-layout-shift,0
interactive,2182.52
transfer-size,142369
resource-size,142035
server-response-time,136.063
first-contentful-paint,977.29
largest-contentful-paint,977.29
speed-index,1012.7985240328309
total-blocking-time,253
cumulative-layout-shift,0
interactive,2277.1125
transfer-size,142369
resource-size,142035
server-response-time,237.71400000000003
first-contentful-paint,927.9259999999999
largest-contentful-paint,927.9259999999999
speed-index,927.9259999999999
total-blocking-time,236.5000000000001
cumulative-layout-shift,0
interactive,2207.9075000000003
transfer-size,142369
resource-size,142035
server-response-time,135.158
first-contentful-paint,756.108
largest-contentful-paint,756.108
speed-index,768.7360160314555
total-blocking-time,238
cumulative-layout-shift,0
interactive,1985.6349999999998
transfer-size,142369
resource-size,142035
server-response-time,234.397
first-contentful-paint,872.498
largest-contentful-paint,872.498
speed-index,1031.4747360651013
total-blocking-time,344.0000000000001
cumulative-layout-shift,0
interactive,2247.1225000000004
transfer-size,142369
resource-size,142035
server-response-time,249.345
first-contentful-paint,915.174
largest-contentful-paint,915.174
speed-index,970.0743719843383
total-blocking-time,333.5
cumulative-layout-shift,0
interactive,2289.9674999999997
transfer-size,142369
resource-size,142035
server-response-time,144.406
first-contentful-paint,758.6479999999999
largest-contentful-paint,758.6479999999999
speed-index,810.6917000767704
total-blocking-time,341.5
cumulative-layout-shift,0
interactive,2102.31
transfer-size,142369
resource-size,142035
server-response-time,261.376
first-contentful-paint,768.912
largest-contentful-paint,768.912
speed-index,768.912
total-blocking-time,318.0000000000001
cumulative-layout-shift,0
interactive,2091.6400000000003
transfer-size,142369
resource-size,142035
server-response-time,143.381
first-contentful-paint,1134.3
largest-contentful-paint,1134.3
speed-index,1136.7247880167956
