Metric,Value
first-contentful-paint,7742.576000000001
largest-contentful-paint,7742.576000000001
speed-index,18077.604188016805
total-blocking-time,3845
cumulative-layout-shift,0
interactive,14335.720000000001
transfer-size,142369
resource-size,142035
server-response-time,3518.8140000000003
first-contentful-paint,7635.652
largest-contentful-paint,7635.652
speed-index,17514.802387962398
total-blocking-time,3053.5
cumulative-layout-shift,0
interactive,13405.564999999999
transfer-size,142369
resource-size,142035
server-response-time,5583.806
first-contentful-paint,3028.206
largest-contentful-paint,3028.206
speed-index,8053.984704045924
total-blocking-time,2899
cumulative-layout-shift,0
interactive,7494.7575
transfer-size,142369
resource-size,142035
server-response-time,3285.532
first-contentful-paint,3155.9660000000003
largest-contentful-paint,3155.9660000000003
speed-index,15144.23481189576
total-blocking-time,3220
cumulative-layout-shift,0
interactive,7977.4575
transfer-size,142369
resource-size,142035
server-response-time,1228.007
first-contentful-paint,5258.052
largest-contentful-paint,5258.052
speed-index,16231.40738789564
total-blocking-time,3865.5
cumulative-layout-shift,0
interactive,11250.564999999999
transfer-size,142369
resource-size,142035
server-response-time,2276.232
first-contentful-paint,3056.5919999999996
largest-contentful-paint,3056.5919999999996
speed-index,14275.516235983663
total-blocking-time,3029
cumulative-layout-shift,0
interactive,7662.24
transfer-size,142369
resource-size,142035
server-response-time,7688.2390000000005
first-contentful-paint,9900.736
largest-contentful-paint,9900.736
speed-index,19210.71078797308
total-blocking-time,2989.999999999999
cumulative-layout-shift,0
interactive,16176.42
transfer-size,142369
resource-size,142035
server-response-time,4597.395
first-contentful-paint,871.2359999999999
largest-contentful-paint,871.2359999999999
speed-index,12710.555912022264
total-blocking-time,3868
cumulative-layout-shift,0
interactive,5664.236
transfer-size,142369
resource-size,142035
server-response-time,8702.083
first-contentful-paint,5328.339999999999
largest-contentful-paint,5328.339999999999
speed-index,15757.436987874278
total-blocking-time,3625.5000000000005
cumulative-layout-shift,0
interactive,11098.425
transfer-size,142369
resource-size,142035
server-response-time,6558.688999999999
first-contentful-paint,10601.082000000002
largest-contentful-paint,10601.082000000002
speed-index,18505.303543969687
total-blocking-time,3135
cumulative-layout-shift,0
interactive,17198.8525
transfer-size,142369
resource-size,142035
server-response-time,3385.029
first-contentful-paint,3210.026
largest-contentful-paint,3210.026
speed-index,13886.8312879664
total-blocking-time,3074.5000000000005
cumulative-layout-shift,0
interactive,7899.5325
transfer-size,142369
resource-size,142035
server-response-time,1183.308
first-contentful-paint,12954.08
largest-contentful-paint,12954.08
speed-index,20074.79227200438
total-blocking-time,3135.000000000001
cumulative-layout-shift,0
interactive,20140.1
transfer-size,142369
resource-size,142035
server-response-time,2264.9339999999997
first-contentful-paint,10079.506
largest-contentful-paint,10079.506
speed-index,19590.88736407676
total-blocking-time,3109
cumulative-layout-shift,0
interactive,16520.8825
transfer-size,142369
resource-size,142035
server-response-time,4686.8330000000005
first-contentful-paint,8333.818
largest-contentful-paint,8333.818
speed-index,16987.869295989472
total-blocking-time,3384
cumulative-layout-shift,0
interactive,14613.7725
transfer-size,142369
resource-size,142035
server-response-time,4523.169
first-contentful-paint,3195.0860000000002
largest-contentful-paint,3195.0860000000002
speed-index,14119.347812027605
total-blocking-time,3064
cumulative-layout-shift,0
interactive,7870.3575
transfer-size,142369
resource-size,142035
server-response-time,7452.129
first-contentful-paint,3229.1600000000003
